analysis_label,cohort,comparison,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
post hoc exploratory benchmark,RADCURE,C3_vs_B6,difference_ipcw_brier,0.0004237929370217025,0.00043278829294230575,-0.0008843819878284747,0.0018373228980479064,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B6,difference_harrell_c,-0.0019646716319277058,-0.0020414329920003804,-0.0071449813041921766,0.0030170177053511207,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B6,difference_uno_c,-0.0027666295320415424,-0.002772952532691386,-0.008363784211061076,0.002377600099256309,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B6,difference_auc_horizon,-0.003028635449061401,-0.0031514579861184333,-0.00964111496252663,0.002944599206004697,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B5,difference_ipcw_brier,0.0,0.0,-1.3877787807814457e-17,0.0,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B5,difference_harrell_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B5,difference_uno_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B5,difference_auc_horizon,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B6,difference_ipcw_brier,-0.000642187427338875,-0.0005926007684337112,-0.0023288817084047486,0.0012512925581617546,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B6,difference_harrell_c,0.005215310150208152,0.005275553664444654,-0.006227464350138187,0.016536093652111346,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B6,difference_uno_c,0.005215988071027744,0.005174436470582022,-0.006082977800774073,0.01641714659703518,1000
post hoc exploratory benchmark,RADCURE,C4_vs_B6,difference_auc_horizon,0.0041116454752372356,0.003980333660365765,-0.00834991946241963,0.016801162317945227,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B5,difference_ipcw_brier,0.012289340248132177,0.012583539195143989,-0.0073142783816592715,0.0326275293375769,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B5,difference_harrell_c,0.030649477012892223,0.03016938307886513,-0.02337985442257114,0.09661862085875422,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B5,difference_uno_c,0.023766804392979513,0.022322476223249288,-0.035432408992648955,0.09642559017969171,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B5,difference_auc_horizon,0.04231716530914076,0.040503367955494196,-0.02775199249553739,0.12509995702595894,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B6,difference_ipcw_brier,0.012106700101320866,0.012375217664780495,-0.006637802057591328,0.031247483893852575,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B6,difference_harrell_c,0.02359523230357574,0.023466405931720002,-0.029554583770256704,0.09161835142973979,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B6,difference_uno_c,0.016375590170717658,0.01547587338011791,-0.0424820655643119,0.0881535459556223,1000
post hoc exploratory benchmark,HANCOCK,C1_vs_B6,difference_auc_horizon,0.035875136639334615,0.0335077197931562,-0.032035690465840753,0.11884241748715492,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B5,difference_ipcw_brier,-0.008335412970107023,-0.008566408680759571,-0.02429820507781595,0.008439241068326601,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B5,difference_harrell_c,0.015324738506446112,0.014019841030104618,-0.03181603320282583,0.06768545686779678,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B5,difference_uno_c,0.019755044033224034,0.01799076130141819,-0.03504401560361142,0.08237510197831091,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B5,difference_auc_horizon,0.033054919840115216,0.03125325638552462,-0.03458828504847325,0.10803368692275611,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B6,difference_ipcw_brier,-0.008518053116918334,-0.008776194735894013,-0.023876531716246423,0.00685848639453071,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B6,difference_harrell_c,0.00827049379712963,0.0077022908883243035,-0.03562411676444152,0.05801154986756506,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B6,difference_uno_c,0.01236382981096218,0.010638267356830544,-0.03922123074739495,0.07502902610222133,1000
post hoc exploratory benchmark,HANCOCK,C2_vs_B6,difference_auc_horizon,0.026612891170309072,0.024560505220003137,-0.03608520756264832,0.09891784931797241,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B5,difference_ipcw_brier,-0.0023839789837900305,-0.0025122565118233034,-0.00686613107331988,0.0024953732518262647,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B5,difference_harrell_c,0.014594989053758223,0.014231383694560118,-0.00023229816218261755,0.029084736504273578,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B5,difference_uno_c,0.013228704217721377,0.0127094527165309,-0.002855303551696408,0.03096793772353159,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B5,difference_auc_horizon,0.012182341605015856,0.011949905733888933,-0.005634369694909455,0.03169290982589281,1000
