analysis_label,study,cohort,partition,model,seed,runtime_seconds,status,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C3,43,4.170905199999652,OK,1215.0,526.0,1214.9945264553016,0.13897153665649462,0.7300414917296739,0.7507666278912576,0.7775359354661768,-0.026389576944273498,1.1722333300941932,0.2113881359425942
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C3,43,0.759823100000176,OK,303.0,119.0,302.74654266925387,0.14384018988207692,0.7377408386853042,0.7575079107155387,0.7817042783256339,-0.01369694480186045,0.6207130220691933,0.20668335361174062
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C4,43,2.9731657000002087,OK,1215.0,526.0,1214.9945264553016,0.14128454405806656,0.7264818554940116,0.7445608470359821,0.7692285173138875,-0.05693618012294985,1.1612153625780144,0.21599488551897872
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C4,43,0.5429478999994899,OK,303.0,119.0,302.74654266925387,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.05133318453945147,0.49415867450182194,0.21222053740077224
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C1,71,11.116645799999787,OK,1215.0,526.0,1214.9945264553016,0.14012843082727908,0.7261422554375236,0.7602293047979154,0.7828664877492153,-0.06656802441937312,1.4347480059092559,0.21764068890435312
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C1,71,2.928949900000589,OK,303.0,119.0,302.74654266925387,0.14963941861320282,0.6975066112580279,0.7130635777175582,0.7354005778766561,-0.035563694548761404,1.0497845575592908,0.21012401511867967
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C2,71,13.99585980000029,OK,1215.0,526.0,1214.9945264553016,0.13701199365782143,0.7344506885026888,0.7657737630208309,0.7921571465821786,-0.10384295089061082,0.8861974330281269,0.22113368744667203
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C2,71,3.382630799999788,OK,303.0,119.0,302.74654266925387,0.14737413154668702,0.7365319229316207,0.750839412612341,0.7737652326648224,-0.03959059623614302,0.7374886118651287,0.20999332664975523
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C3,71,4.291756300000088,OK,1215.0,526.0,1214.9945264553016,0.13848081916065869,0.7314469652307823,0.751701234366461,0.7788106227194976,-0.014781236060426374,1.2030080818423425,0.2098062974351907
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C3,71,0.7241016000007221,OK,303.0,119.0,302.74654266925387,0.14372449469740736,0.7378919531545145,0.7575674131269649,0.7817716472764994,-0.031052477150842805,0.6185460516153549,0.20909468955509328
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C4,71,2.8273622999995496,OK,1215.0,526.0,1214.9945264553016,0.14000551187304522,0.7310008899090589,0.7488939797725562,0.7731327047920744,-0.04737238282599842,1.1225061945043866,0.21463008788358515
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C4,71,0.5372933999997258,OK,303.0,119.0,302.74654266925387,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.05133318453945147,0.49415867450182194,0.21222053740077224
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C1,101,10.905418800000007,OK,1215.0,526.0,1214.9945264553016,0.1386912653084738,0.7272036457130817,0.7613099040179241,0.7841606395839078,-0.06708020995967323,1.4975342643931873,0.21779635717453588
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C1,101,3.0435065000001487,OK,303.0,119.0,302.74654266925387,0.14875973465809667,0.7002644503211183,0.7134192122887971,0.734728215251554,-0.04992049408792069,1.0960952417349346,0.21232538021549816
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C2,101,11.637340199999926,OK,1215.0,526.0,1214.9945264553016,0.13645018995711553,0.7317697534032858,0.7613839236001935,0.7856323691472018,-0.1021623522519585,0.8683019350727803,0.22079508743978096
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C2,101,2.571015599999555,OK,303.0,119.0,302.74654266925387,0.14713872696186808,0.7322251605591236,0.745895798219301,0.7677793104344118,-0.03688152582927509,0.7526163325304761,0.20977008459942598
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C3,101,3.5473888999995324,OK,1215.0,526.0,1214.9945264553016,0.13836203348251508,0.7340247874417468,0.7546499324288364,0.7826107907884243,-0.01744786919877546,1.1858532847289243,0.2101275764812673
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C3,101,0.7735703000007561,OK,303.0,119.0,302.74654266925387,0.14418290148420315,0.7369474877219494,0.7563785335456131,0.7808304572642595,-0.023194262681556374,0.6029392732861473,0.20798962191697737
post hoc exploratory benchmark,RADCURE,RADCURE,development_oof,C4,101,2.669144399999823,OK,1215.0,526.0,1214.9945264553016,0.14025082287369847,0.7333769695122088,0.7507993663855819,0.7757219944086735,-0.050096219102954836,1.1957649249284916,0.21502695274643854
post hoc exploratory benchmark,RADCURE,RADCURE,calibration,C4,101,0.5915745000002062,OK,303.0,119.0,302.74654266925387,0.1488895621263134,0.7253494522100491,0.7416278157887183,0.7639521612377953,-0.05133318453945147,0.49415867450182194,0.21222053740077224
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C1,17,1.3758778000001257,OK,489.0,135.0,488.8486702563916,0.10763845567520099,0.6598161726737581,0.7179303977429526,0.7478916636942321,-0.0011261020057489642,1.934501631285255,0.13661825207134
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C1,17,0.34724029999961203,OK,122.0,38.0,121.33108167594078,0.13538281686710174,0.732162868883078,0.7675284727136282,0.7940392437998982,0.37982766574737553,4.089143359383634,0.13679784689835728
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C2,17,0.616974499999742,OK,489.0,135.0,488.8486702563916,0.1034981893608665,0.6649540431684395,0.7314833023323991,0.7575578454456775,0.06419611331274504,0.9462824335751371,0.13429613487723796
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C2,17,0.13439680000010412,OK,122.0,38.0,121.33108167594078,0.12908826331863338,0.6578259245423982,0.6997688088135164,0.7197074829199442,0.49865357231290924,1.1593422832188511,0.13278159378272503
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C3,17,0.4699328999995487,OK,489.0,135.0,488.8486702563916,0.10636177114680706,0.6760817928327998,0.7163687765336534,0.7380755171622748,0.011939331996203718,1.1440167060882318,0.13678826677651107
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C3,17,0.10319590000017342,OK,122.0,38.0,121.33108167594078,0.12589420797586337,0.7019051176690325,0.7701535298878476,0.8035109461438551,0.41322236805416385,2.437956313163909,0.14127729841136522
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C4,17,0.2915504000002329,OK,489.0,135.0,488.8486702563916,0.10602172136906839,0.6759268821646184,0.7193705349827106,0.7405752337886146,-0.00437833597792182,1.2753123045565298,0.13851308910614918
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C4,17,0.061204499999803375,OK,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C1,29,1.3354687000000922,OK,489.0,135.0,488.8486702563916,0.10607737775428075,0.6685169885366106,0.7245939947930234,0.7526311900910991,-0.004346065150108469,1.9565337016054922,0.13610275311820108
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C1,29,0.368293999999878,OK,122.0,38.0,121.33108167594078,0.13799044361453272,0.711243929772133,0.7420646897350563,0.7731208050663695,0.38808582814858994,3.6902782070741873,0.13647790269300217
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C2,29,0.6208602000006067,OK,489.0,135.0,488.8486702563916,0.10014143632044542,0.6861251678198905,0.7506081893896922,0.7814506045207595,0.0824100858916306,1.0405005968725607,0.12982622736619395
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C2,29,0.13372369999979128,OK,122.0,38.0,121.33108167594078,0.1319176045723706,0.6567052670900262,0.7025127213156149,0.7286579567440923,0.5065847019626281,1.1835681406981113,0.13198406348290534
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C3,29,0.4703899000005549,OK,489.0,135.0,488.8486702563916,0.1052635400088364,0.6851957038108024,0.7341647249738827,0.7569755660854041,0.009077056269582138,1.2076763562976758,0.13521545718476566
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C3,29,0.09996250000040163,OK,122.0,38.0,121.33108167594078,0.12492980244500587,0.6996638027642884,0.7673717454125605,0.800049014975673,0.4133911377081932,2.32714087547476,0.14206525533485703
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C4,29,0.30630070000006526,OK,489.0,135.0,488.8486702563916,0.1038633491736886,0.6945419807910771,0.7447815632661505,0.7662933767155237,-0.015134505644874917,1.4090192764016172,0.13771895599310496
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C4,29,0.06766009999955713,OK,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C1,43,1.4220682999994096,OK,489.0,135.0,488.8486702563916,0.10534894588701807,0.6818393060002066,0.7573857470831166,0.7848667774303116,-0.027939467557669604,2.195747067501738,0.1374446519982995
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C1,43,0.41484309999941615,OK,122.0,38.0,121.33108167594078,0.13744686625365252,0.7101232723197609,0.7431836089238104,0.7700375350528115,0.38282007617434294,3.4856343855247434,0.13596941225527065
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C2,43,0.7090624000002208,OK,489.0,135.0,488.8486702563916,0.10215239368204737,0.6941547041206237,0.7589373539631712,0.7870457525900989,0.07313200103854092,1.0352452652249604,0.1306713465339698
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C2,43,0.1298373999998148,OK,122.0,38.0,121.33108167594078,0.12781328803801478,0.6525961897646619,0.7021263892893443,0.7245219842800054,0.4638572942373728,1.1896641788034126,0.13684621700780364
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C3,43,0.5105063999999402,OK,489.0,135.0,488.8486702563916,0.10716371321657175,0.6745585045956831,0.7286808375376744,0.750069663481431,-0.0032296191150845113,0.8885381264576957,0.13609245417733318
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C3,43,0.10359750000043277,OK,122.0,38.0,121.33108167594078,0.124935413235563,0.6802390735898394,0.7448634569709797,0.7714417262405456,0.40996707358815154,2.160707917623929,0.14212112638513238
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C4,43,0.45649649999995745,OK,489.0,135.0,488.8486702563916,0.10511057434513596,0.6692140865434266,0.7249940833156022,0.744692620440432,-0.028116851188735262,1.191319672349537,0.13864986256416617
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C4,43,0.12162629999966157,OK,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C1,71,2.3830196999997497,OK,489.0,135.0,488.8486702563916,0.1054612174266868,0.6973691004853868,0.749205501459888,0.7763189253415911,-0.017058901034447703,2.1818289053461215,0.13770200788576095
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C1,71,0.6368087999999261,OK,122.0,38.0,121.33108167594078,0.1387025061303769,0.7007844602166604,0.7304542023317051,0.7534337939005753,0.37560466765188427,3.2840082088756373,0.13830286453970084
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C2,71,1.0986257000004116,OK,489.0,135.0,488.8486702563916,0.10209956713674807,0.6925281421047196,0.7606592032404387,0.7869121549195743,0.04106369457530058,1.0042060684464762,0.13379063839446265
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C2,71,0.22807060000013735,OK,122.0,38.0,121.33108167594078,0.12862775648344604,0.6443780351139335,0.6976173121386556,0.7215739731234645,0.48232125742377563,1.253235296666685,0.13562882142785315
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C3,71,1.001353300000119,OK,489.0,135.0,488.8486702563916,0.10379547068272188,0.6882422802850356,0.7356001868796956,0.7586275373703347,0.006548416258490178,1.3376681294808088,0.135816519086819
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C3,71,0.23668529999940802,OK,122.0,38.0,121.33108167594078,0.1271147425244952,0.7090026148673889,0.7760443524644473,0.8097474340982828,0.42551729821004103,2.557280424880935,0.13926834859952866
post hoc exploratory benchmark,HANCOCK,HANCOCK,development_oof,C4,71,0.5506425000003219,OK,489.0,135.0,488.8486702563916,0.10470670290421252,0.681968398223691,0.7285853221352165,0.7510441809605071,-0.02026357150840615,1.318482288300358,0.13874338302233752
post hoc exploratory benchmark,HANCOCK,HANCOCK,calibration,C4,71,0.05964829999993526,OK,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
