seed,outer_fold,pattern,kind,alpha,beta,n,events
71,1,011,global,1.3716698713130322,2.3866891554122405,47,4
71,1,100,global,,,0,0
71,1,101,global,-0.30240109843880725,0.7633206299607895,34,6
71,1,110,global,1.939353820454776,2.001093237713529,13,4
71,1,111,pattern_slope,-0.17190307412157227,0.9086321029998854,301,47
71,2,001,global,24.55412791294944,18.40612755467835,6,2
71,2,010,global,,,1,0
71,2,011,global,-0.6853248145098343,1.093767225269389,41,3
71,2,101,global,-2.0793054063710104,0.3507349133936557,28,2
71,2,110,global,11.466198796033778,5.388926598582772,7,4
71,2,111,pattern_slope,-0.10271986291075488,0.818451986163502,305,58
71,3,001,global,24.55672029960689,18.40760285846997,6,2
71,3,010,global,,,1,0
71,3,011,global,0.4664863219427564,1.4513196341082601,45,6
71,3,100,global,,,0,0
71,3,101,global,-1.2379800262608407,0.34259483221307224,32,5
71,3,110,global,-0.2240641020659533,0.557629596344895,11,3
71,3,111,pattern_slope,-0.06481723925357148,0.9539713201421526,303,50
71,4,001,global,24.55391642436643,18.406026004595166,6,2
71,4,010,global,,,1,0
71,4,011,global,-0.3784446105248323,1.0754311723554955,46,5
71,4,100,global,,,0,0
71,4,101,global,-0.7531188248550327,0.4895665190987428,32,6
71,4,110,global,0.7810662786872276,0.8281901965539962,12,5
71,4,111,pattern_slope,-0.017461239728275107,0.9551515702419859,294,51
101,0,001,global,0.5340526921955503,0.4211113668972917,4,2
101,0,010,global,,,1,0
101,0,011,global,1.7762544424660842,2.306690961857062,49,6
101,0,100,global,,,0,0
101,0,101,global,-1.0748950811241265,0.46916079012803724,31,5
101,0,110,global,0.9176924350895677,1.4793224302889574,10,3
101,0,111,pattern_slope,-0.5417707304112791,0.665434794425844,296,50
101,1,001,global,29.442752582651497,17.312495154331906,5,2
101,1,010,global,,,1,0
101,1,011,global,3.534574387609141,3.7366097787509833,42,4
101,1,100,global,,,0,0
101,1,101,global,-1.1349254007545202,0.34938054752029635,35,6
101,1,110,global,0.5225231297116671,0.780982875696279,12,5
101,1,111,pattern_slope,-0.4426140580925822,0.6904701298152096,301,51
101,2,001,global,2.4462644310365245,1.9215583529615505,6,2
101,2,010,global,,,1,0
101,2,011,global,0.6003848019546543,1.7763450979515274,44,4
101,2,100,global,,,0,0
101,2,101,global,0.5381581494824577,1.3079860084732062,32,4
101,2,110,global,-0.8449795024122129,0.16164554435739112,11,3
101,2,111,pattern_slope,-0.07730138390504203,0.8858968510119302,299,54
101,3,001,global,-0.4890029775614582,0.43334409714866035,4,1
101,3,010,global,,,1,0
101,3,011,global,1.141892745902377,2.009385275818604,44,5
101,3,101,global,-1.2588704531291726,0.3536182478700188,33,5
101,3,110,global,0.6146437834585238,1.2039273760622506,12,4
101,3,111,pattern_slope,-0.3354188833924771,0.8290745606249456,298,48
101,4,001,global,3.1601464480060026,2.8726476899476783,5,1
101,4,010,global,,,0,0
101,4,011,global,2.054484834905946,2.599484019887372,45,5
101,4,100,global,,,0,0
101,4,101,global,-1.4138794560959775,0.3996388602632066,29,4
101,4,110,global,1.417422155295666,1.2128110397207832,11,5
101,4,111,pattern_slope,0.1621041108765339,1.0689494963798722,306,53
