candidate,family,gamma,seed,outer_fold,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,beta_effective_min
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,29,2,0.13434832412190317,0.13531440685758825,0.0009660827356850754,0.277854980440106,0.34198589263888546,0.06413091219877948,2.089735580171066,2.089582195144941,-0.0001533850261248304,106,20,1.0
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,29,2,0.13434832412190317,0.13420694207685407,-0.0001413820450490988,0.277854980440106,0.2619017004047786,-0.015953280035327366,2.089735580171066,2.1087228486525738,0.01898726848150778,106,20,0.9908876545542354
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,29,2,0.13434832412190317,0.13400744588118005,-0.0003408782407231248,0.277854980440106,0.2379526956577866,-0.039902284782319386,2.089735580171066,2.1370832289932156,0.04734764882214959,106,20,0.9772191363855885
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,29,2,0.13434832412190317,0.13371083479240226,-0.0006374893295009176,0.277854980440106,0.1979865323930727,-0.07986844804703327,2.089735580171066,2.188793827780313,0.0990582476092472,106,20,0.9544382727711771
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,29,2,0.13434832412190317,0.13346306574584313,-0.0008852583760600441,0.277854980440106,0.15795600190857995,-0.11989897853152603,2.089735580171066,2.2425894699401607,0.15285388976909475,106,20,0.9316574091567655
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,29,2,0.13434832412190317,0.13326899554144853,-0.001079328580454647,0.277854980440106,0.11786062203323502,-0.15999435840687096,2.089735580171066,2.298675505286999,0.20893992511593318,106,20,0.9088765455423541
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,29,2,0.13434832412190317,0.13479071917603624,0.00044239505413307123,0.277854980440106,0.2744162743023303,-0.0034387061377756933,2.089735580171066,2.2045153540445974,0.11477977387353144,106,20,0.9480154378450385
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,29,2,0.13434832412190317,0.13548463470388492,0.001136310581981742,0.277854980440106,0.26862667186138595,-0.009228308578720035,2.089735580171066,2.4028093732610283,0.3130737930899623,106,20,0.8700385946125961
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,29,2,0.13434832412190317,0.13672139232468988,0.00237306820278671,0.277854980440106,0.25724718619286246,-0.020607794247243516,2.089735580171066,2.8277675019786335,0.7380319218075675,106,20,0.7400771892251924
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,29,2,0.13434832412190317,0.13805898520245669,0.0037106610805535123,0.277854980440106,0.2436359876871507,-0.034218992752955285,2.089735580171066,3.424971476730972,1.3352358965599058,106,20,0.6101157838377886
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,29,2,0.13434832412190317,0.13950063848505098,0.0051523143631478086,0.277854980440106,0.22772285839542955,-0.05013212204467643,2.089735580171066,4.351527172225064,2.2617915920539984,106,20,0.4801543784503848
bounded_global_full_g0.25,bounded_global_full,0.25,29,2,0.13434832412190317,0.13496721975286224,0.000618895630959071,0.277854980440106,0.2796204213992972,0.0017654409591912334,2.089735580171066,2.229940817703614,0.1402052375325482,106,20,0.9375
bounded_global_full_g0.50,bounded_global_full,0.5,29,2,0.13434832412190317,0.13560834484889775,0.0012600207269945762,0.277854980440106,0.28089869514022,0.0030437147001139975,2.089735580171066,2.390862458344093,0.3011268781730272,106,20,0.875
bounded_global_full_g0.75,bounded_global_full,0.75,29,2,0.13434832412190317,0.13627055920540482,0.0019222350835016444,0.277854980440106,0.28168008425359226,0.0038251038134862747,2.089735580171066,2.572105454917782,0.4823698747467162,106,20,0.8125
bounded_global_full_g1.00,bounded_global_full,1.0,29,2,0.13434832412190317,0.1369528205791062,0.002604496457203037,0.277854980440106,0.28195530874151525,0.004100328301409273,2.089735580171066,2.7876144684104265,0.6978788882393605,106,20,0.75
identity,identity,0.0,29,3,0.13091801219732,0.13091801219732,0.0,-0.12289516238893762,-0.12289516238893762,0.0,0.4126275028337805,0.41262750283378036,1.1102230246251565e-16,99,16,1.0
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,29,3,0.13091801219732,0.13095739802531348,3.9385827993482225e-05,-0.12289516238893762,-0.12703650656083984,0.00414134417190222,0.4126275028337805,0.41262661218656593,8.906472145353561e-07,99,16,1.0
