replicate,threshold,delta_brier_router_minus_v0,delta_brier_router_minus_v1r
103,0.6,0.0006816500597288666,-0.0015370221719624988
104,0.4,-0.00033381050631381415,7.960450061500479e-05
104,0.5,-0.00033405175819906097,7.936324872975797e-05
104,0.6,-0.0003287883288378146,8.462667809100433e-05
105,0.4,-0.0011960258227638187,0.0014908172607221437
105,0.5,-0.0011966014454736495,0.001490241638012313
105,0.6,-0.0011961535005243773,0.0014906895829615852
106,0.4,-0.00011305418811616286,-0.00036603732615252127
106,0.5,-0.00011549205117025729,-0.0003684751892066157
106,0.6,-0.00011526691249007237,-0.0003682500505264308
107,0.4,0.0023383265436216216,0.0008294918260334239
107,0.5,0.002335118619855997,0.0008262839022677992
107,0.6,0.0023352786124229696,0.0008264438948347719
108,0.4,-0.00030919764576328723,0.001957623329192776
108,0.5,-0.0003103817740729431,0.00195643920088312
108,0.6,-0.00030636169620409937,0.0019604592787519637
109,0.4,-0.0004036036113011787,0.001619400869355081
109,0.5,-0.00040526648919009256,0.0016177379914661671
109,0.6,-0.00039475928234997126,0.0016282451983062884
110,0.4,0.0005565918333330644,0.0033602781440079388
110,0.5,0.0005555885560958318,0.003359274866770706
110,0.6,0.000557131487393947,0.0033608177980688214
111,0.4,-0.0012391850024137535,-0.0008505530136853068
111,0.5,-0.001239272278624165,-0.0008506402898957183
111,0.6,-0.0012350115914666338,-0.000846379602738187
112,0.4,-0.0005931576026175223,0.0020861004807120886
112,0.5,-0.0005925296043286787,0.002086728479000932
112,0.6,-0.0005868821849144557,0.0020923758984151553
113,0.4,-0.0007061935627913629,-0.003863980282096724
113,0.5,-0.000707354494188947,-0.003865141213494308
113,0.6,-0.0007072586786543017,-0.0038650453979596627
114,0.4,-0.00018215565956875013,0.0015155165663714165
114,0.5,-0.00018116962404229886,0.0015165026018978678
114,0.6,-0.0001751187111383723,0.0015225535148017943
115,0.4,7.780609283039586e-05,0.003022312422945428
115,0.5,7.648610833613234e-05,0.0030209924384511644
115,0.6,7.447201671550996e-05,0.003018978346830542
116,0.4,-0.00090240210492043,0.0005465529820344872
116,0.5,-0.0009037792732459193,0.0005451758137089979
116,0.6,-0.0008991675963096468,0.0005497874906452704
117,0.4,-0.0001637614077684424,0.0011523869910048529
117,0.5,-0.00016365847046068138,0.0011524899283126139
117,0.6,-0.00015857167972482822,0.001157576719048467
118,0.4,-0.000807788865030204,0.00018617180490262952
118,0.5,-0.0008068790677744214,0.00018708160215841207
118,0.6,-0.0008068261901395257,0.00018713447979330777
119,0.4,-0.000512377435132938,0.004100837810839503
119,0.5,-0.0005140866716719095,0.004099128574300531
119,0.6,-0.0005101690752422339,0.004103046170730207
120,0.4,-0.0007274638994757138,-0.0036665498765592747
120,0.5,-0.0007288175582130796,-0.0036679035352966405
120,0.6,-0.0007212853727624896,-0.0036603713498460505
121,0.4,-0.0008397236908988526,0.0018978496199453798
