seed,outer_fold,candidate,gamma,beta_effective,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
43,0,bounded_global_full_g0.25,0.25,0.9579376157764752,True,0.1268474565242424,0.1272592730526855,0.0004118165284431041,0.21400210413475695,0.20970535728275652,-0.004296746852000433,1.8855763638069252,1.968370581672802,0.08279421786587693,98,18
43,1,bounded_global_full_g0.25,0.25,0.9688413318658757,True,0.12007731169487006,0.12018426197171891,0.00010695027684885783,0.018773743188291836,0.001952328458818764,-0.016821414729473072,0.8427729832962388,0.8698771122086454,-0.027104128912406544,95,16
43,2,bounded_global_full_g0.25,0.25,0.9922311366913716,True,0.13586334823545354,0.13583575423621325,-2.7593999240294043e-05,0.16194226608343032,0.16060976221179846,-0.0013325038716318627,1.0644062561792875,1.0727411347311064,0.008334878551818914,102,19
43,3,bounded_global_full_g0.25,0.25,0.9528121068703352,True,0.08354755796747913,0.08424255378975833,0.000694995822279193,-0.4800748751977927,-0.5107511723499549,0.030676297152162246,1.6253743001749277,1.7058707144621488,0.0804964142872211,100,12
43,4,bounded_global_full_g0.25,0.25,1.0448417634783733,True,0.1520642973910393,0.15297534240170016,0.0009110450106608603,0.1989039729425789,0.195042372212487,-0.0038616007300918964,0.143847512706933,0.1376739395920286,0.006173573114904407,97,18
71,0,bounded_global_full_g0.25,0.25,0.9375,True,0.12355195368744488,0.12408033057124886,0.0005283768838039715,0.16019278230784872,0.1533340753857536,-0.006858706922095115,,1.6658071889016741,,98,18
71,1,bounded_global_full_g0.25,0.25,1.0070128034696082,True,0.16032342539913733,0.16036867127529397,4.524587615664655e-05,0.18174973824202223,0.17574582717402454,-0.0060039110679976915,0.376245181125975,0.37362510326088666,0.0026200778650884438,95,20
71,2,bounded_global_full_g0.25,0.25,0.9375,True,0.09689654580993401,0.09768246683737526,0.0007859210274412526,-0.32072407308291484,-0.3474063130724644,0.02668223998954955,1.5630704379741496,1.667274934211105,0.10420449623695549,104,14
71,3,bounded_global_full_g0.25,0.25,0.9848157485183382,True,0.1373101419047459,0.1372271587930809,-8.298311166501926e-05,0.19995461598175657,0.19425973754216652,-0.005694878439590045,0.9399752828252049,0.9544680555503686,-0.014492772725163694,94,17
71,4,bounded_global_full_g0.25,0.25,1.009732025630469,True,0.11136319665780503,0.11154465679920482,0.00018146014139978905,-0.14500290653757697,-0.16039066536620206,0.015387758828625087,0.6858017311076382,0.6791920751588038,0.0066096559488344475,101,14
101,0,bounded_global_full_g0.25,0.25,0.9375,True,0.12214142238609951,0.1224925600512224,0.0003511376651228887,0.1010847742050508,0.0983718458236641,-0.0027129283813867033,1.272458319962536,1.3572887701071399,0.08483045014460378,101,17
101,1,bounded_global_full_g0.25,0.25,0.9375,True,0.10952336822850231,0.10996128301939695,0.00043791479089463903,-0.20663007188918525,-0.20833972191462802,0.001709650025442766,1.4973531360812438,1.5971768953336278,0.09982375925238407,96,15
101,2,bounded_global_full_g0.25,0.25,0.9595352028480545,True,0.11873179561168225,0.11870610015096318,-2.5695460719066254e-05,-0.3167862031892239,-0.317579239257196,0.0007930360679720971,0.6932817165593816,0.7225182802835793,-0.029236563724197695,99,16
101,3,bounded_global_full_g0.25,0.25,0.956902755526983,True,0.1488623671702929,0.14916548176477074,0.00030311459447784905,0.3476516118002363,0.35698217845469415,0.009330566654457861,1.748060402157697,1.826789466689775,0.07872906453207795,100,20
101,4,bounded_global_full_g0.25,0.25,1.0511638490137303,True,0.1336466101265669,0.13477138775213068,0.0011247776255637887,-0.06465684738199678,-0.06954497398295373,0.0048881266009569435,0.20188071693010634,0.19205452237123738,0.009826194558869017,96,15
