candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.975_mix_25,0.975,mix_25,-0.07463904036025511,0.19071113700445186,17,4
beta_0.975_mix_50,0.975,mix_50,-0.08779754210480244,0.2599615054466058,17,4
beta_0.975_mix_75,0.975,mix_75,-0.09519545842261982,0.32920410201345496,17,4
beta_0.975_logloss,0.975,logloss,-0.09992055893919115,0.39844313742455156,17,4
beta_0.900_brier,0.9,brier,-0.22018894871012396,0.1310149664538915,29,0
beta_0.900_mix_25,0.9,mix_25,-0.19289278154930825,0.20376375939251007,29,0
beta_0.900_mix_50,0.9,mix_50,-0.18257245422515042,0.27649833847708827,29,0
beta_0.900_mix_75,0.9,mix_75,-0.177099126672852,0.349228746705226,29,0
beta_0.900_logloss,0.9,logloss,-0.17369991389451273,0.42195735528949385,29,0
beta_0.925_brier,0.925,brier,-0.1852999297359119,0.13131686170619072,29,0
beta_0.925_mix_25,0.925,mix_25,-0.1554446088295174,0.20418640820733733,29,0
beta_0.925_mix_50,0.925,mix_50,-0.14423372164697135,0.2770392133337551,29,0
beta_0.925_mix_75,0.925,mix_75,-0.13830051305657015,0.3498871368366037,29,0
beta_0.925_logloss,0.925,logloss,-0.13461937860202383,0.4227329585791578,29,0
beta_0.950_brier,0.95,brier,-0.15053825090654305,0.13162470176738186,29,0
beta_0.950_mix_25,0.95,mix_25,-0.1181045602552461,0.20462544604694372,29,0
beta_0.950_mix_50,0.95,mix_50,-0.10600666626336672,0.2776067338753564,29,0
beta_0.950_mix_75,0.95,mix_75,-0.09961691208926444,0.3505823830338622,29,0
beta_0.950_logloss,0.95,logloss,-0.09565628006841133,0.4235556095405627,29,0
beta_0.975_brier,0.975,brier,-0.11590891683780911,0.1319377940463097,29,0
beta_0.975_mix_25,0.975,mix_25,-0.08087325573173942,0.205080156466255,29,0
beta_0.975_mix_50,0.975,mix_50,-0.06788981143381899,0.2782001572227565,29,0
beta_0.975_mix_75,0.975,mix_75,-0.06104558883668792,0.3513137157007976,29,0
beta_0.975_logloss,0.975,logloss,-0.056807135911452124,0.4244245117699837,29,0
beta_0.900_brier,0.9,brier,-0.11283461495616144,0.12670356569455898,29,1
beta_0.900_mix_25,0.9,mix_25,-0.12101020745352695,0.19835158146539755,29,1
beta_0.900_mix_50,0.9,mix_50,-0.12460602442003933,0.26999789413049935,29,1
beta_0.900_mix_75,0.9,mix_75,-0.12662247292519205,0.341643624743205,29,1
beta_0.900_logloss,0.9,logloss,-0.12791160070919375,0.41328908818889537,29,1
beta_0.925_brier,0.925,brier,-0.07648075844001148,0.1267398461430708,29,1
beta_0.925_mix_25,0.925,mix_25,-0.08251298738720765,0.19839905590973356,29,1
beta_0.925_mix_50,0.925,mix_50,-0.0851588207112272,0.27005734578723956,29,1
beta_0.925_mix_75,0.925,mix_75,-0.08664174157225389,0.34171532184476083,29,1
beta_0.925_logloss,0.925,logloss,-0.08758971175309298,0.41337315388362006,29,1
beta_0.950_brier,0.95,brier,-0.040417967731365134,0.12678421901411727,29,1
beta_0.950_mix_25,0.95,mix_25,-0.04420805893490071,0.19846126772433403,29,1
beta_0.950_mix_50,0.95,mix_50,-0.045865649774591816,0.2701379562526971,29,1
beta_0.950_mix_75,0.95,mix_75,-0.046794163593954496,0.34181452214022356,29,1
beta_0.950_logloss,0.95,logloss,-0.04738765175379735,0.4134910317586876,29,1
beta_0.975_brier,0.975,brier,-0.004643119886043083,0.1268364306167235,29,1
beta_0.975_mix_25,0.975,mix_25,-0.006091903893534101,0.1985379649088745,29,1
beta_0.975_mix_50,0.975,mix_50,-0.006723566422198233,0.27023944701853475,29,1
beta_0.975_mix_75,0.975,mix_75,-0.007077197374096701,0.3419409113965469,29,1
beta_0.975_logloss,0.975,logloss,-0.007303203501150037,0.4136423676414196,29,1
beta_0.900_brier,0.9,brier,-0.31020519725120527,0.1305210029242227,29,2
beta_0.900_mix_25,0.9,mix_25,-0.2536570477530539,0.20390647080374205,29,2
beta_0.900_mix_50,0.9,mix_50,-0.2328413253883299,0.2772346010993977,29,2
beta_0.900_mix_75,0.9,mix_75,-0.22182891450465372,0.35054612887045766,29,2
beta_0.900_logloss,0.9,logloss,-0.21498495554972877,0.4238504826217652,29,2
beta_0.925_brier,0.925,brier,-0.2792606391525907,0.13084048064170717,29,2
beta_0.925_mix_25,0.925,mix_25,-0.21834515316206818,0.20439714807247544,29,2
beta_0.925_mix_50,0.925,mix_50,-0.19610347593968552,0.27788847584775117,29,2
beta_0.925_mix_75,0.925,mix_75,-0.1843619343815087,0.35136101339112835,29,2
beta_0.925_logloss,0.925,logloss,-0.17707177814609384,0.42482544834318997,29,2
beta_0.950_brier,0.95,brier,-0.2485280466968373,0.13116576471016964,29,2
beta_0.950_mix_25,0.95,mix_25,-0.18317288663381262,0.20490517514135387,29,2
beta_0.950_mix_50,0.95,mix_50,-0.15950075352245857,0.2785707186410784,29,2
beta_0.950_mix_75,0.95,mix_75,-0.1470300301507979,0.3522151617037641,29,2
beta_0.950_logloss,0.95,logloss,-0.1392943172002632,0.425850524084377,29,2
beta_0.975_brier,0.975,brier,-0.21800873378432914,0.1314961427570172,29,2
