candidate,beta,mode,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
beta_0.950_mix_50,0.95,mix_50,29,1,True,0.15477786124894807,0.15292320207827498,-0.0018546591706730953,-0.1015222398111073,-0.12419056363392822,0.022668323822820913,0.23476639868190313,0.24712255938756508,-0.012356160705662034,95,16
beta_0.950_mix_75,0.95,mix_75,29,1,True,0.15477786124894807,0.1529131000901854,-0.0018647611587626622,-0.1015222398111073,-0.12326204981456546,0.02173981000345815,0.23476639868190313,0.24712254610089915,-0.012356147418996044,95,16
beta_0.950_logloss,0.95,logloss,29,1,True,0.15477786124894807,0.15290665351095012,-0.0018712077379979541,-0.1015222398111073,-0.12266856165472262,0.021146321843615312,0.23476639868190313,0.24712249852392912,-0.012356099842026014,95,16
beta_0.975_brier,0.975,brier,29,1,True,0.15477786124894807,0.15404798150865262,-0.0007298797402954527,-0.1015222398111073,-0.13107372312809695,0.029551483316989646,0.23476639868190313,0.24078611009210268,-0.006019711410199635,95,16
beta_0.975_mix_25,0.975,mix_25,29,1,True,0.15477786124894807,0.15403202200590524,-0.000745839243042834,-0.1015222398111073,-0.1296249391206058,0.02810269930949849,0.23476639868190313,0.24078607979683525,-0.006019681114932229,95,16
beta_0.975_mix_50,0.975,mix_50,29,1,True,0.15477786124894807,0.1540250785470827,-0.0007527827018653788,-0.1015222398111073,-0.12899327659194187,0.027471036780834568,0.23476639868190313,0.24078599829511707,-0.006019599613213966,95,16
beta_0.975_mix_75,0.975,mix_75,29,1,True,0.15477786124894807,0.15402119523043556,-0.000756666018512514,-0.1015222398111073,-0.12863964564004327,0.02711740582893596,0.23476639868190313,0.24078609320790062,-0.006019694525997599,95,16
beta_0.975_logloss,0.975,logloss,29,1,True,0.15477786124894807,0.15401871486940383,-0.0007591463795442455,-0.1015222398111073,-0.12841363951299,0.0268913997018827,0.23476639868190313,0.24078605486428142,-0.006019656182378319,95,16
beta_0.900_brier,0.9,brier,29,2,True,0.13434832412190317,0.13742187523241223,0.003073551110509054,0.27785509587707125,0.4124251721372648,0.13457007626019357,2.0894017868638044,2.3215573987017586,0.2321556118379542,106,20
beta_0.900_mix_25,0.9,mix_25,29,2,True,0.13434832412190317,0.1364939227265209,0.0021455986046177156,0.27785509587707125,0.35587702263911336,0.07802192676204212,2.0894017868638044,2.321557450698171,0.2321556638343667,106,20
beta_0.900_mix_50,0.9,mix_50,29,2,True,0.13434832412190317,0.13616658721378605,0.0018182630918828768,0.27785509587707125,0.3350613002743893,0.05720620439731805,2.0894017868638044,2.321557713881148,0.23215592701734344,106,20
beta_0.900_mix_75,0.9,mix_75,29,2,True,0.13434832412190317,0.13599680077326562,0.001648476651362446,0.27785509587707125,0.3240488893907133,0.046193793513642056,2.0894017868638044,2.321557200344533,0.23215541348072843,106,20
beta_0.900_logloss,0.9,logloss,29,2,True,0.13434832412190317,0.1358925087745632,0.0015441846526600134,0.27785509587707125,0.31720493043578835,0.0393498345587171,2.0894017868638044,2.3215575836279028,0.23215579676409837,106,20
beta_0.925_brier,0.925,brier,29,2,True,0.13434832412190317,0.1374001069577456,0.003051782835842426,0.27785509587707125,0.4255061578420859,0.14765106196501465,2.0894017868638044,2.258812870361801,0.16941108349799672,106,20
beta_0.925_mix_25,0.925,mix_25,29,2,True,0.13434832412190317,0.1363875467368227,0.002039222614919539,0.27785509587707125,0.36459067185156335,0.08673557597449211,2.0894017868638044,2.2588127849186406,0.16941099805483617,106,20
beta_0.925_mix_50,0.925,mix_50,29,2,True,0.13434832412190317,0.1360338173812988,0.0016854932593956262,0.27785509587707125,0.3423489946291808,0.06449389875210954,2.0894017868638044,2.2588129380103346,0.16941115114653016,106,20
beta_0.925_mix_75,0.925,mix_75,29,2,True,0.13434832412190317,0.13585087469385973,0.0015025505719565568,0.27785509587707125,0.3306074530710038,0.052752357193932564,2.0894017868638044,2.258812804233607,0.16941101736980269,106,20
beta_0.925_logloss,0.925,logloss,29,2,True,0.13434832412190317,0.1357386612896864,0.0013903371677832232,0.27785509587707125,0.3233172968355892,0.04546220095851794,2.0894017868638044,2.2588128259495894,0.16941103908578503,106,20
beta_0.950_brier,0.95,brier,29,2,True,0.13434832412190317,0.13738774047689656,0.003039416354993385,0.27785509587707125,0.43872084177047266,0.1608657458934014,2.0894017868638044,2.1993699725880376,0.10996818572423317,106,20
beta_0.950_mix_25,0.95,mix_25,29,2,True,0.13434832412190317,0.136288083562764,0.0019397594408608332,0.27785509587707125,0.3733656817074479,0.09551058583037664,2.0894017868638044,2.199370343102661,0.1099685562388566,106,20
beta_0.950_mix_50,0.95,mix_50,29,2,True,0.13434832412190317,0.1359075555459999,0.0015592314240967242,0.27785509587707125,0.3496935485960939,0.07183845271902267,2.0894017868638044,2.1993702933889896,0.1099685065251852,106,20
beta_0.950_mix_75,0.95,mix_75,29,2,True,0.13434832412190317,0.13571130414031163,0.001362980018408455,0.27785509587707125,0.33722282522443325,0.05936772934736201,2.0894017868638044,2.199370306805263,0.10996851994145862,106,20
beta_0.950_logloss,0.95,logloss,29,2,True,0.13434832412190317,0.13559109311729725,0.001242768995394078,0.27785509587707125,0.3294871122738984,0.05163201639682713,2.0894017868638044,2.1993707165142813,0.10996892965047689,106,20
beta_0.975_brier,0.975,brier,29,2,True,0.13434832412190317,0.13738464855378157,0.003036324431878401,0.27785509587707125,0.4520711729948167,0.17421607711774545,2.0894017868638044,2.1429762511878616,0.053574464324057214,106,20
beta_0.975_mix_25,0.975,mix_25,29,2,True,0.13434832412190317,0.13619543148258847,0.0018471073606853017,0.27785509587707125,0.38220160993362906,0.10434651405655782,2.0894017868638044,2.14297598763425,0.05357420077044539,106,20
beta_0.975_mix_50,0.975,mix_50,29,2,True,0.13434832412190317,0.13578770527549328,0.0014393811535901024,0.27785509587707125,0.35709314463070985,0.0792380487536386,2.0894017868638044,2.142976092429601,0.053574305565796454,106,20
beta_0.975_mix_75,0.975,mix_75,29,2,True,0.13434832412190317,0.13557799472771453,0.0012296706058113616,0.27785509587707125,0.3438924083855094,0.06603731250843814,2.0894017868638044,2.1429758236571748,0.05357403679337036,106,20
beta_0.975_logloss,0.975,logloss,29,2,True,0.13434832412190317,0.1354497077477747,0.0011013836258715326,0.27785509587707125,0.3357110758020446,0.05785597992497338,2.0894017868638044,2.1429761982691247,0.053574411405320266,106,20
beta_0.900_brier,0.9,brier,29,3,True,0.13091801219732,0.12965322198418167,-0.0012647902131383282,-0.12289497349618808,-0.14661980143482245,0.02372482793863437,0.4126193561358848,0.4584657836873869,-0.045846427551502034,99,16
beta_0.900_mix_25,0.9,mix_25,29,3,True,0.13091801219732,0.12965516714964287,-0.0012628450476771247,-0.12289497349618808,-0.14682572778375141,0.023930754287563333,0.4126193561358848,0.45846593837474214,-0.04584658223885729,99,16
beta_0.900_mix_50,0.9,mix_50,29,3,True,0.13091801219732,0.12965596158928505,-0.0012620506080349425,-0.12289497349618808,-0.1469097821450024,0.024014808648814306,0.4126193561358848,0.45846597361570385,-0.045846617479818996,99,16
beta_0.900_mix_75,0.9,mix_75,29,3,True,0.13091801219732,0.1296563932085839,-0.0012616189887360851,-0.12289497349618808,-0.14695543686786683,0.024060463371678747,0.4126193561358848,0.4584658221090326,-0.045846465973147676,99,16
beta_0.900_logloss,0.9,logloss,29,3,True,0.13091801219732,0.1296566647300259,-0.0012613474672940883,-0.12289497349618808,-0.14698415282869914,0.024089179332511063,0.4126193561358848,0.4584658299181912,-0.04584647378230633,99,16
beta_0.925_brier,0.925,brier,29,3,True,0.13091801219732,0.1300323663495753,-0.0008856458477446982,-0.12289497349618808,-0.14829420672703403,0.025399233230845947,0.4126193561358848,0.4460750763427246,-0.033455720206839734,99,16
beta_0.925_mix_25,0.925,mix_25,29,3,True,0.13091801219732,0.13004845025484726,-0.0008695619424727297,-0.12289497349618808,-0.14994322392061749,0.027048250424429404,0.4126193561358848,0.4460749803104073,-0.033455624174522525,99,16
beta_0.925_mix_50,0.925,mix_50,29,3,True,0.13091801219732,0.13005501765510688,-0.0008629945422131136,-0.12289497349618808,-0.1506135047707043,0.027718531274516206,0.4126193561358848,0.44607497345230884,-0.03345561731642399,99,16
beta_0.925_mix_75,0.925,mix_75,29,3,True,0.13091801219732,0.13005858839543116,-0.0008594238018888312,-0.12289497349618808,-0.15097720619986288,0.028082232703674798,0.4126193561358848,0.4460749841229143,-0.0334556279870295,99,16
beta_0.925_logloss,0.925,logloss,29,3,True,0.13091801219732,0.13006083298093823,-0.0008571792163817593,-0.12289497349618808,-0.1512055669557486,0.028310593459560524,0.4126193561358848,0.4460749288131026,-0.03345557267721777,99,16
beta_0.950_brier,0.95,brier,29,3,True,0.13091801219732,0.13042097462239088,-0.00049703757492911,-0.12289497349618808,-0.1500052909671329,0.027110317470944806,0.4126193561358848,0.43433611665497807,-0.021716760519093214,99,16
beta_0.950_mix_25,0.95,mix_25,29,3,True,0.13091801219732,0.13045236058918327,-0.000465651608136719,-0.12289497349618808,-0.15312475669684156,0.030229783200653476,0.4126193561358848,0.43433618355593595,-0.0217168274200511,99,16
beta_0.950_mix_50,0.95,mix_50,29,3,True,0.13091801219732,0.13046517220306186,-0.0004528399942581307,-0.12289497349618808,-0.15438763858158222,0.03149266508539414,0.4126193561358848,0.43433609955474684,-0.021716743418861983,99,16
beta_0.950_mix_75,0.95,mix_75,29,3,True,0.13091801219732,0.13047214035481522,-0.00044587184250477474,-0.12289497349618808,-0.15507200567783985,0.03217703218165177,0.4126193561358848,0.43433617603463437,-0.021716819898749518,99,16
