study,partition,seed,indicator,mean,sd,median,q90,max
HANCOCK,calibration,29,clinical_ood_knn,7.166679745481748,2.436412040287494,6.831999648219512,9.945106654308278,15.1106325755189
HANCOCK,calibration,29,clinical_ood_isolation_forest,0.417887146596631,0.047427445455556286,0.40717985661419626,0.4859373931229388,0.5687139973969209
HANCOCK,calibration,29,clinical_uncertainty_sd,0.025162605212486058,0.011955106943363396,0.02238509224012135,0.04094031194724305,0.08325616893100045
HANCOCK,calibration,29,clinical_uncertainty_width95,0.08386451795423676,0.039966165657786525,0.07534367343770518,0.12969099693604186,0.28037053597912076
HANCOCK,calibration,29,clinical_model_disagreement,0.05327009313230813,0.03843709774614026,0.04507780103296616,0.1025050382413044,0.20327978165073946
HANCOCK,calibration,29,modality_ood_mahalanobis,4.562916267561947,1.555081839510035,4.418693814393212,6.157167705961204,10.623923468936084
HANCOCK,calibration,29,modality_ood_knn,3.6948562479376688,1.5104703539572761,3.7347969814974613,5.016852345408853,9.805607003696286
HANCOCK,calibration,29,modality_ood_isolation_forest,0.43520374999667094,0.06963213987906798,0.4160798839492541,0.5277308570243704,0.6699681333286343
HANCOCK,calibration,29,fusion_uncertainty_sd,0.03557749971358148,0.03211808817274525,0.025920899464920905,0.051857214744587946,0.22722796589550454
HANCOCK,calibration,29,fusion_uncertainty_width95,0.11564765613842594,0.09989115076399312,0.08459142999727187,0.17440762815902922,0.619409652771896
HANCOCK,calibration,29,perturbation_sensitivity,0.06627732764938035,0.08756627987450369,0.03767405661116591,0.16749954294622676,0.4687550932829021
HANCOCK,calibration,29,modality_missingness,0.13524590163934427,0.28637723810339016,0.0,0.8,0.95
HANCOCK,calibration,29,fusion_disagreement,0.00879613039068762,0.012084950031698287,0.004946398926107043,0.018088260360110176,0.07652679556157338
HANCOCK,calibration,29,clinical_ood_rank,0.5040983606557377,0.2845960737378155,0.5013661202185793,0.8972677595628418,1.0
HANCOCK,calibration,29,modality_ood_rank,0.5040983606557378,0.2506876053934212,0.4685792349726776,0.8510928961748634,0.9863387978142076
HANCOCK,calibration,29,clinical_unreliability,0.5040983606557377,0.2059290435697647,0.47768670309653916,0.8033697632058288,0.918943533697632
HANCOCK,calibration,29,modality_unreliability,0.555764579414136,0.1369452261722898,0.5303278688524591,0.7489071038251367,0.9579234972677597
HANCOCK,oof,43,clinical_ood_mahalanobis,6.459554059576612,2.4791920921113277,5.718961850286513,8.957499665530408,21.572007089211116
HANCOCK,oof,43,clinical_ood_knn,6.995255687037743,2.5335116572111365,6.485173377743356,9.668275129252203,21.380661046079627
HANCOCK,oof,43,clinical_ood_isolation_forest,0.4158243441061522,0.044981304558557936,0.4044437091028395,0.47347376718973305,0.6418660161430835
HANCOCK,oof,43,clinical_uncertainty_sd,0.028791238824103702,0.023933484507434738,0.022504315917864753,0.047789400158820904,0.2587183921870086
HANCOCK,oof,43,clinical_uncertainty_width95,0.09537284300093778,0.07648810265977983,0.0753238903743737,0.16190464137656563,0.7176756334609455
HANCOCK,oof,43,clinical_model_disagreement,0.04992183466434071,0.05101424107559344,0.041433580663002845,0.09166608265919429,0.8092482622827424
HANCOCK,oof,43,modality_ood_mahalanobis,4.509768325952908,1.8477786096224473,4.098021711996476,6.417681695598628,26.502710796524454
HANCOCK,oof,43,modality_ood_knn,3.7378178033895444,1.3303115575050914,3.663982091427941,5.2752532555961125,9.897599276956095
HANCOCK,oof,43,modality_ood_isolation_forest,0.42655429874753964,0.0645612971480755,0.4067624327580123,0.5241196002160746,0.6946704515154554
HANCOCK,oof,43,fusion_uncertainty_sd,0.03604344314372445,0.02835144808236615,0.02799961689326712,0.07024409843581793,0.27843817693194617
HANCOCK,oof,43,fusion_uncertainty_width95,0.12033163454684154,0.09294580688957385,0.09273516173425343,0.23834448858750176,0.8620254221236783
HANCOCK,oof,43,perturbation_sensitivity,0.05747153254458854,0.06369897005189319,0.03578646395707474,0.13726204563355027,0.4384794573887618
HANCOCK,oof,43,modality_missingness,0.10408997955010225,0.2570195662996501,0.0,0.8,1.0
HANCOCK,oof,43,fusion_disagreement,0.009226389051620367,0.017517293267970965,0.00492884453607767,0.019278112958201518,0.2071644711377576
HANCOCK,oof,43,clinical_ood_rank,0.47913663437147297,0.27677309567380953,0.43989071038251365,0.8693989071038251,1.0
HANCOCK,oof,43,modality_ood_rank,0.48239967816554363,0.2539148141887877,0.43715846994535523,0.8469945355191256,0.9726775956284154
HANCOCK,oof,43,clinical_unreliability,0.48211658304185706,0.2194570800794103,0.4553734061930783,0.8025500910746811,0.9817850637522768
HANCOCK,oof,43,modality_unreliability,0.5702403701096249,0.14425682649424756,0.5683060109289617,0.777704918032787,0.9120218579234972
HANCOCK,calibration,43,clinical_ood_mahalanobis,6.742647563317895,2.5284202421747337,6.070819778536446,9.432602924703671,15.373980926563425
HANCOCK,calibration,43,clinical_ood_knn,7.166679745481748,2.436412040287494,6.831999648219512,9.945106654308278,15.1106325755189
HANCOCK,calibration,43,clinical_ood_isolation_forest,0.4180343241892737,0.04801966609276902,0.40578166538163196,0.47992783488295354,0.589575618459839
HANCOCK,calibration,43,clinical_uncertainty_sd,0.025512078235860856,0.010456898785404312,0.0223205578334187,0.043598380846152814,0.06388575949007194
HANCOCK,calibration,43,clinical_uncertainty_width95,0.08339759897020033,0.035389484484224215,0.07308400856047909,0.13800105659798734,0.21897038619675588
HANCOCK,calibration,43,clinical_model_disagreement,0.05168576800885279,0.03816910396227715,0.043424518903473264,0.09944361505124635,0.23223346468781558
HANCOCK,calibration,43,modality_ood_mahalanobis,4.562916267561947,1.555081839510035,4.418693814393212,6.157167705961204,10.623923468936084
HANCOCK,calibration,43,modality_ood_knn,3.6948562479376688,1.5104703539572761,3.7347969814974613,5.016852345408853,9.805607003696286
HANCOCK,calibration,43,modality_ood_isolation_forest,0.43628863232486137,0.06936788859508358,0.4150076982007076,0.5254149807840315,0.6811874166845658
HANCOCK,calibration,43,fusion_uncertainty_sd,0.03391905988386954,0.036218596693070995,0.021787938534730013,0.06744489285165675,0.21763340109781765
HANCOCK,calibration,43,fusion_uncertainty_width95,0.11186595840961414,0.11748566852346254,0.07200504602204176,0.20361634324425812,0.6994464382826591
HANCOCK,calibration,43,perturbation_sensitivity,0.07190917448440713,0.0971534729567261,0.03605114400366338,0.19055199301559694,0.47172777322942205
HANCOCK,calibration,43,modality_missingness,0.13524590163934427,0.28637723810339016,0.0,0.8,0.95
HANCOCK,calibration,43,fusion_disagreement,0.006885031752255427,0.008420073554763425,0.0042564708614617475,0.01423048866027345,0.04156158003711774
HANCOCK,calibration,43,clinical_ood_rank,0.5040983606557378,0.28654004043670017,0.5081967213114754,0.8926229508196721,1.0
HANCOCK,calibration,43,modality_ood_rank,0.5040983606557378,0.24969828189080323,0.46994535519125685,0.8453551912568307,0.9863387978142076
HANCOCK,calibration,43,clinical_unreliability,0.5040983606557377,0.2065736954948406,0.4963570127504554,0.8075591985428052,0.9426229508196721
HANCOCK,calibration,43,modality_unreliability,0.5557645794141359,0.14942894213622776,0.5382513661202186,0.7616393442622951,0.9497267759562842
HANCOCK,oof,71,clinical_ood_mahalanobis,6.546169135430053,2.6463176740335705,5.754431091761749,9.217915039648325,21.072695936367065
HANCOCK,oof,71,clinical_ood_knn,7.072907062094803,2.635771014669198,6.49765152345081,9.957163617224346,21.0508884690628
HANCOCK,oof,71,clinical_ood_isolation_forest,0.4137005357253453,0.04579361613517288,0.4013346553623629,0.4717488001244063,0.6147671216921263
HANCOCK,oof,71,clinical_uncertainty_sd,0.031905318937981444,0.026735729304389683,0.024980716599301497,0.04956564495263117,0.2548685918212161
HANCOCK,oof,71,clinical_uncertainty_width95,0.10598229729165047,0.08313028312886575,0.08261205173307216,0.1638171982115931,0.7191611049898732
HANCOCK,oof,71,clinical_model_disagreement,0.051035868510631875,0.05215707745857787,0.04203209293454946,0.09651132813850949,0.7150310403233162
HANCOCK,oof,71,modality_ood_mahalanobis,4.5315115911860495,1.8950344237159762,4.0936838239367015,6.475133991598135,27.662413029295536
HANCOCK,oof,71,modality_ood_knn,3.7670271638612363,1.3563812093551673,3.6818823455173315,5.39523559766257,10.130762944559432
HANCOCK,oof,71,modality_ood_isolation_forest,0.4275702640442533,0.06568735816377619,0.4080590865718498,0.5155546927998086,0.7155638351560681
HANCOCK,oof,71,fusion_uncertainty_sd,0.038117620838975734,0.0296451755705767,0.028379045349806214,0.06956698097771899,0.22683396988179474
HANCOCK,oof,71,fusion_uncertainty_width95,0.12569487033130755,0.09587909122603962,0.09554718171778134,0.2341456954882072,0.7386287427269582
HANCOCK,oof,71,perturbation_sensitivity,0.06022008379003767,0.06159405131715182,0.04110826887015462,0.132183842461139,0.44124567972682405
HANCOCK,oof,71,modality_missingness,0.10408997955010225,0.2570195662996501,0.0,0.8,1.0
HANCOCK,oof,71,fusion_disagreement,0.007891573264972227,0.011650130950159591,0.004700606906713367,0.01485960964357522,0.11811512723338113
HANCOCK,oof,71,clinical_ood_rank,0.4807569814609943,0.27738919914735666,0.45081967213114754,0.8830601092896174,1.0
HANCOCK,oof,71,modality_ood_rank,0.4866237554058132,0.2580595775901106,0.43989071038251365,0.8579234972677595,0.9754098360655737
HANCOCK,oof,71,clinical_unreliability,0.517488573759317,0.21369008101408687,0.5036429872495446,0.8408014571948998,0.9963570127504554
HANCOCK,oof,71,modality_unreliability,0.5563981360421068,0.14876350407260894,0.5426229508196722,0.7700546448087431,0.9300546448087431
HANCOCK,calibration,71,clinical_ood_mahalanobis,6.742647563317895,2.5284202421747337,6.070819778536446,9.432602924703671,15.373980926563425
HANCOCK,calibration,71,clinical_ood_knn,7.166679745481748,2.436412040287494,6.831999648219512,9.945106654308278,15.1106325755189
HANCOCK,calibration,71,clinical_ood_isolation_forest,0.415505175425787,0.047811815682761376,0.4026534090456193,0.4797875972274747,0.5824019366655827
HANCOCK,calibration,71,clinical_uncertainty_sd,0.023993649694361824,0.00960471319528872,0.021648710729638615,0.03528699572529868,0.06917202387836528
HANCOCK,calibration,71,clinical_uncertainty_width95,0.07976026857159015,0.031234983389924375,0.07279356518640392,0.11778951530136064,0.21653127166972805
HANCOCK,calibration,71,clinical_model_disagreement,0.05189499764349236,0.03627852916577435,0.04528519447326346,0.09945987674372021,0.19668305864446323
HANCOCK,calibration,71,modality_ood_mahalanobis,4.562916267561947,1.555081839510035,4.418693814393212,6.157167705961204,10.623923468936084
HANCOCK,calibration,71,modality_ood_knn,3.6948562479376688,1.5104703539572761,3.7347969814974613,5.016852345408853,9.805607003696286
HANCOCK,calibration,71,modality_ood_isolation_forest,0.4372465430610563,0.07104799285202862,0.4155426621415893,0.5345745783894931,0.6764490156413355
