study,partition,seed,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate,ipcw_brier,harrell_c,auc_horizon
HANCOCK,calibration,43,0.5,0.5081967213114754,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.06755834263955002,0.6171171171171171,0.7085966665380541
HANCOCK,oof,43,0.55,0.6175869120654397,0.3231083844580777,0.294478527607362,0.3824130879345603,0.06915952080108934,0.6085288410654437,0.6185752377642846
HANCOCK,calibration,43,0.55,0.5573770491803278,0.3114754098360656,0.2459016393442623,0.4426229508196721,0.0875820693003777,0.5793780687397708,0.6837775042125227
HANCOCK,oof,43,0.6,0.6728016359918201,0.4110429447852761,0.261758691206544,0.32719836400818,0.07490432667424057,0.6147377000592769,0.6394126745417967
HANCOCK,calibration,43,0.6,0.6147540983606558,0.3770491803278688,0.23770491803278687,0.38524590163934425,0.10436141917733448,0.5880281690140845,0.6558171612704884
HANCOCK,oof,43,0.65,0.7075664621676891,0.4498977505112474,0.25766871165644173,0.29243353783231085,0.07655100282020495,0.6205282190365491,0.6461671384101464
HANCOCK,calibration,43,0.65,0.6557377049180327,0.4344262295081967,0.22131147540983606,0.3442622950819672,0.10988078681293234,0.596875,0.6581248969331528
HANCOCK,oof,43,0.7,0.7341513292433538,0.47648261758691207,0.25766871165644173,0.2658486707566462,0.07874793640526635,0.6304039269028328,0.6596358721350436
HANCOCK,calibration,43,0.7,0.7049180327868853,0.5,0.20491803278688525,0.29508196721311475,0.11338580928799737,0.5855614973262032,0.6408939512788646
HANCOCK,oof,43,0.75,0.754601226993865,0.5173824130879345,0.23721881390593047,0.24539877300613497,0.08192094781357669,0.6099084096586178,0.637996220442869
HANCOCK,calibration,43,0.75,0.7540983606557377,0.5737704918032787,0.18032786885245902,0.2459016393442623,0.11442917403716293,0.6212003117692907,0.6756111239815753
HANCOCK,oof,43,0.8,0.8098159509202454,0.6482617586912065,0.16155419222903886,0.1901840490797546,0.07786966053267065,0.603476581361661,0.6267848252753454
HANCOCK,calibration,43,0.8,0.8032786885245902,0.6557377049180327,0.14754098360655737,0.19672131147540983,0.11656293642548177,0.6376907763769077,0.6697213950826544
HANCOCK,oof,43,0.85,0.8548057259713702,0.6993865030674846,0.1554192229038855,0.14519427402862986,0.08005958097696451,0.6000084341922153,0.6436524080013877
HANCOCK,calibration,43,0.85,0.8524590163934426,0.7295081967213115,0.12295081967213115,0.14754098360655737,0.11005435038369457,0.6261453879047038,0.687464947284486
HANCOCK,oof,43,0.9,0.901840490797546,0.7791411042944786,0.12269938650306748,0.09815950920245399,0.09148789359149612,0.6093992932862191,0.6580275618744984
HANCOCK,calibration,43,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492,0.11194290249416143,0.6179401993355482,0.6722784885755311
HANCOCK,oof,43,0.95,0.9366053169734151,0.8670756646216768,0.06952965235173825,0.06339468302658487,0.09540550067756573,0.6167053214791908,0.6526396981350219
HANCOCK,calibration,43,0.95,0.9508196721311475,0.9098360655737705,0.040983606557377046,0.04918032786885246,0.11909451046499647,0.6463644948064211,0.7274449633287501
HANCOCK,oof,43,1.0,0.9815950920245399,0.9754601226993865,0.006134969325153374,0.018404907975460124,0.10047764994793244,0.6574611470224179,0.7169451561374451
HANCOCK,calibration,43,1.0,1.0,1.0,0.0,0.0,0.12837713824923727,0.6798655211057153,0.7750366596768749
HANCOCK,oof,71,0.5,0.47443762781186094,0.24539877300613497,0.22903885480572597,0.5255623721881391,0.06168543936231006,0.6613984674329502,0.6209943243490208
HANCOCK,calibration,71,0.5,0.5081967213114754,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.10679776148542267,0.7197802197802198,0.7823816006098198
HANCOCK,oof,71,0.55,0.5112474437627812,0.3169734151329243,0.19427402862985685,0.4887525562372188,0.06028685810263737,0.6490906527562386,0.6531059631434339
HANCOCK,calibration,71,0.55,0.5573770491803278,0.319672131147541,0.23770491803278687,0.4426229508196721,0.12383875608823676,0.7244318181818182,0.7818104278632819
HANCOCK,oof,71,0.6,0.5746421267893661,0.3783231083844581,0.19631901840490798,0.42535787321063395,0.060933234506459745,0.6674329501915709,0.6576028734563325
HANCOCK,calibration,71,0.6,0.6065573770491803,0.36885245901639346,0.23770491803278687,0.39344262295081966,0.11582950977623453,0.681930693069307,0.7334190251746965
HANCOCK,oof,71,0.65,0.6155419222903885,0.45807770961145194,0.1574642126789366,0.38445807770961143,0.0610551710134201,0.6701541335824381,0.674580411292644
HANCOCK,calibration,71,0.65,0.6557377049180327,0.4344262295081967,0.22131147540983606,0.3442622950819672,0.11787010741505735,0.637223974763407,0.7219628969284106
HANCOCK,oof,71,0.7,0.6359918200408998,0.5030674846625767,0.1329243353783231,0.36400817995910023,0.06402400955716064,0.6645819618169848,0.6993290737575935
HANCOCK,calibration,71,0.7,0.7049180327868853,0.5,0.20491803278688525,0.29508196721311475,0.12006971237023935,0.6383928571428571,0.6969006303401563
HANCOCK,oof,71,0.75,0.689161554192229,0.5725971370143149,0.1165644171779141,0.310838445807771,0.06061743772337548,0.6643903179300402,0.6956775771141692
HANCOCK,calibration,71,0.75,0.7540983606557377,0.5737704918032787,0.18032786885245902,0.2459016393442623,0.11400252922310831,0.5871632329635499,0.663807081531655
HANCOCK,oof,71,0.8,0.8179959100204499,0.6625766871165644,0.1554192229038855,0.18200408997955012,0.07791992140616094,0.6581956797966964,0.6865507734232458
HANCOCK,calibration,71,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983,0.10826331480099238,0.5998598458304134,0.6500302145780199
HANCOCK,oof,71,0.85,0.8404907975460123,0.7464212678936605,0.09406952965235174,0.15950920245398773,0.07842799798119167,0.6477183147937287,0.6837753765284376
HANCOCK,calibration,71,0.85,0.8524590163934426,0.7295081967213115,0.12295081967213115,0.14754098360655737,0.11721048773453695,0.6502923976608187,0.7250497445728441
HANCOCK,oof,71,0.9,0.8650306748466258,0.7893660531697342,0.07566462167689161,0.13496932515337423,0.08367957285915906,0.6599626376247069,0.7121279619202564
HANCOCK,calibration,71,0.9,0.9016393442622951,0.8278688524590164,0.07377049180327869,0.09836065573770492,0.1184467308921316,0.6314666666666666,0.7035256769255542
HANCOCK,oof,71,0.95,0.9120654396728016,0.8588957055214724,0.053169734151329244,0.08793456032719836,0.08689132850721093,0.6669006176305446,0.7109670354102504
HANCOCK,calibration,71,0.95,0.9508196721311475,0.9098360655737705,0.040983606557377046,0.04918032786885246,0.126387291998918,0.6513844757149342,0.7291676001783105
HANCOCK,oof,71,1.0,0.967280163599182,0.9611451942740287,0.006134969325153374,0.032719836400818,0.09638066985553745,0.6748322535863026,0.7261705317091034
HANCOCK,calibration,71,1.0,1.0,1.0,0.0,0.0,0.12847966301810138,0.6791184161374673,0.7755396570187055
HANCOCK,oof,101,0.5,0.5173824130879345,0.278118609406953,0.2392638036809816,0.48261758691206547,0.05858306162314899,0.628131808278867,0.6982554096397642
HANCOCK,calibration,101,0.5,0.5081967213114754,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.1090792478215228,0.673992673992674,0.70113542347648
HANCOCK,oof,101,0.55,0.5480572597137015,0.3149284253578732,0.2331288343558282,0.45194274028629855,0.06177666478117008,0.6482629547315476,0.7114819570324172
HANCOCK,calibration,101,0.55,0.5573770491803278,0.319672131147541,0.23770491803278687,0.4426229508196721,0.10035557022847601,0.5917721518987342,0.7014695535466705
HANCOCK,oof,101,0.6,0.591002044989775,0.3374233128834356,0.25357873210633947,0.40899795501022496,0.06721865068719998,0.6412739616613419,0.6955519530378547
HANCOCK,calibration,101,0.6,0.6065573770491803,0.36885245901639346,0.23770491803278687,0.39344262295081966,0.1138999103202751,0.6192170818505338,0.7584571744067778
