study,partition,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,profile,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate
HANCOCK,calibration,B7-90,43,110.0,30.0,109.80262717815742,0.11194290249416143,0.6179401993355482,0.6658046166380683,0.6722784885755311,0.12309256338130296,1.340634574945664,0.12099515678214337,90,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492
HANCOCK,oof,B7-80,71,400.0,93.0,403.78631332126093,0.07791992140616094,0.6581956797966964,0.6766005617869444,0.6865507734232458,-0.32927803991123966,1.475633857554498,0.11505809766659858,80,0.8,0.8179959100204499,0.6625766871165644,0.1554192229038855,0.18200408997955012
HANCOCK,oof,B7-90,71,423.0,104.0,426.6530362924196,0.08367957285915906,0.6599626376247069,0.6998037530395519,0.7121279619202564,-0.2526738150168996,1.5638912950350623,0.11801287172340445,90,0.9,0.8650306748466258,0.7893660531697342,0.07566462167689161,0.13496932515337423
HANCOCK,calibration,B7-80,71,98.0,27.0,100.27011452592896,0.10826331480099238,0.5998598458304134,0.6554076035373029,0.6500302145780199,0.0678521200566266,1.4901331620722806,0.11540097838736346,80,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983
HANCOCK,calibration,B7-90,71,110.0,31.0,109.77801356640136,0.1184467308921316,0.6314666666666666,0.686921448255506,0.7035256769255542,0.20663985505447474,1.770561955526357,0.12304105004754713,90,0.9,0.9016393442622951,0.8278688524590164,0.07377049180327869,0.09836065573770492
HANCOCK,oof,B7-80,101,379.0,95.0,388.78068186983285,0.08223326787825555,0.6266277939747328,0.6669044375939022,0.6736969153167947,-0.24901791348493987,1.4884780227193062,0.11377945170521116,80,0.8,0.7750511247443763,0.6523517382413088,0.12269938650306748,0.2249488752556237
HANCOCK,oof,B7-90,101,424.0,107.0,431.15786751852943,0.09048389129037,0.6366011586958992,0.6754644299090611,0.683595240190048,-0.15587755202028278,1.3966511475472,0.11860934936586605,90,0.9,0.8670756646216768,0.7791411042944786,0.08793456032719836,0.1329243353783231
HANCOCK,calibration,B7-80,101,98.0,28.0,100.24701684321568,0.10859217966269856,0.602013422818792,0.6624043415624745,0.6553756957574335,0.027737666493649792,1.1048847733034843,0.11875412808093005,80,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983
HANCOCK,calibration,B7-90,101,110.0,30.0,110.00254816791563,0.10855472094651107,0.6517857142857143,0.7283677224835106,0.7401118149815578,0.08682381676859185,2.1143078809917975,0.12830192383155561,90,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492
TCGA-HNSC,oof,B7-80,17,311.0,131.0,316.3915738974848,0.20912047111255305,0.6365793316028553,0.6385411524292863,0.6576724233626403,-0.11086176860496605,0.5341126859288472,0.33039737326918445,80,0.8,0.7493975903614458,0.5951807228915663,0.15421686746987953,0.25060240963855424
TCGA-HNSC,oof,B7-90,17,335.0,142.0,337.0216154018417,0.21695469958957106,0.6340104166666667,0.6314106883942444,0.6471486362117436,-0.12584181735223882,0.4684270820723896,0.34232893248191415,90,0.9,0.8072289156626506,0.7036144578313253,0.10361445783132531,0.1927710843373494
TCGA-HNSC,calibration,B7-80,17,85.0,36.0,86.24583165557772,0.2379814771874866,0.5906849315068493,0.581460298984685,0.537174866805939,0.018093249354747078,0.32145880766205936,0.3354830108705243,80,0.8,0.8173076923076923,0.6634615384615384,0.15384615384615385,0.18269230769230768
TCGA-HNSC,calibration,B7-90,17,94.0,38.0,94.25532773718804,0.23433249598187159,0.5988023952095808,0.5876681133249301,0.5715714933894758,-0.06796797382981196,0.373368394242114,0.3476417457240025,90,0.9,0.9038461538461539,0.8173076923076923,0.08653846153846154,0.09615384615384616
TCGA-HNSC,oof,B7-80,29,298.0,120.0,295.43524549615415,0.21691595949270112,0.5574373410824555,0.5556684812811241,0.5641695260463427,0.07134350862468188,0.39854577197376373,0.3046355918681033,80,0.8,0.7180722891566265,0.4457831325301205,0.27228915662650605,0.2819277108433735
TCGA-HNSC,oof,B7-90,29,328.0,135.0,327.27029190605424,0.21767802988254012,0.5814026646928201,0.5831570237048033,0.5978802578820857,-0.03955641495570945,0.48241089721896346,0.3318097633747832,90,0.9,0.7903614457831325,0.6481927710843374,0.14216867469879518,0.20963855421686747
TCGA-HNSC,calibration,B7-80,29,84.0,35.0,84.30447379042998,0.22246795038287348,0.607360265633647,0.6148424121996778,0.6263380731931854,0.19306935406267395,1.0006528497361116,0.32224302406068767,80,0.8,0.8076923076923077,0.6538461538461539,0.15384615384615385,0.19230769230769232
TCGA-HNSC,calibration,B7-90,29,94.0,41.0,98.13481373792794,0.23985193111152628,0.6106644096487516,0.6123235460888917,0.6243528030312813,0.04043580421510408,0.5310725431064419,0.337000426673947,90,0.9,0.9038461538461539,0.8173076923076923,0.08653846153846154,0.09615384615384616
TCGA-HNSC,oof,B7-80,43,336.0,137.0,329.55829934448764,0.20989466757419084,0.5934579439252337,0.5913919246164407,0.6013148455491735,0.037407799881740304,0.5360795013451368,0.31307988541803644,80,0.8,0.8096385542168675,0.5614457831325301,0.24819277108433735,0.19036144578313252
TCGA-HNSC,oof,B7-90,43,377.0,156.0,375.8620781619605,0.22219367510555968,0.5786246289970319,0.5810267657824227,0.600753429889568,-0.08320970932846866,0.40209725355674664,0.3363531198741439,90,0.9,0.908433734939759,0.7662650602409639,0.14216867469879518,0.09156626506024096
TCGA-HNSC,calibration,B7-80,43,84.0,34.0,82.81829468602518,0.23743789732339013,0.5979202772963604,0.5928827958498052,0.5713784183417373,0.1240308938356898,0.37174771460828054,0.3359604124944045,80,0.8,0.8076923076923077,0.6538461538461539,0.15384615384615385,0.19230769230769232
TCGA-HNSC,calibration,B7-90,43,94.0,36.0,94.70772752126344,0.2363460286536785,0.5793269230769231,0.5736307431565697,0.56710101517045,-0.1135343125048378,0.2511632493694445,0.34340516489702794,90,0.9,0.9038461538461539,0.8173076923076923,0.08653846153846154,0.09615384615384616
TCGA-HNSC,oof,B7-80,71,331.0,142.0,333.375993948193,0.22417280936147246,0.579444134856506,0.577673342884569,0.5855219786964458,0.06218307186078186,0.4444132041406605,0.32118113735465426,80,0.8,0.7975903614457831,0.5879518072289157,0.20963855421686747,0.20240963855421687
TCGA-HNSC,oof,B7-90,71,369.0,155.0,368.7731905110176,0.21913490459637716,0.5885529469519767,0.5858362622861852,0.5955502389529084,0.007098757917623852,0.4773948113232611,0.3289308544656177,90,0.9,0.8891566265060241,0.727710843373494,0.1614457831325301,0.1108433734939759
TCGA-HNSC,calibration,B7-80,71,84.0,36.0,84.52882034025404,0.23679675944097822,0.6127612761276128,0.6086941389265973,0.5861867587429667,0.056579665537641224,0.4779837017277437,0.34459983850025316,80,0.8,0.8076923076923077,0.6634615384615384,0.14423076923076922,0.19230769230769232
