study,partition,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,calibration,B2,43,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,calibration,B5,43,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,calibration,B6,43,122.0,38.0,121.33108167594078,0.12837713824923727,0.6798655211057153,0.7463216759338613,0.7750366596768749,0.37690473979194944,2.4720770853531553,0.14229392746334743
HANCOCK,oof,B2,71,489.0,135.0,488.8486702563916,0.10963220571763181,0.6806258390994526,0.71767952350543,0.7348779132381548,-0.018632488869790752,1.4818894283279505,0.13674570171950626
HANCOCK,oof,B5,71,489.0,135.0,488.8486702563916,0.10470670290421252,0.681968398223691,0.7285853221352165,0.7510441809605071,-0.02026357150840613,1.318482288300358,0.13874338302233752
HANCOCK,oof,B6,71,489.0,135.0,488.8486702563916,0.10460572557757011,0.6886553754001858,0.7325908156790537,0.7545176725867735,-0.012180230116483002,1.4760925520067478,0.1378907088622811
HANCOCK,calibration,B2,71,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,calibration,B5,71,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,calibration,B6,71,122.0,38.0,121.33108167594078,0.12847966301810138,0.6791184161374673,0.7460892213074176,0.7755396570187055,0.3782373162430173,2.531580840546709,0.14213356300601832
HANCOCK,oof,B2,101,489.0,135.0,488.8486702563916,0.11081136142796215,0.6606939997934524,0.7044138400922381,0.7221336405268475,-0.011408200751150743,1.446894574711874,0.13566006147395646
HANCOCK,oof,B5,101,489.0,135.0,488.8486702563916,0.10619089151713423,0.6729835794691728,0.7153195039873231,0.7337842655699506,-0.0022404239093370914,1.2285195967059581,0.13574001405597538
HANCOCK,oof,B6,101,489.0,135.0,488.8486702563916,0.10664761489425388,0.6817876691108128,0.7204260147167538,0.7391566112439856,-0.0004364011785173161,1.2548618876513604,0.13542685969563212
HANCOCK,calibration,B2,101,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,calibration,B5,101,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,calibration,B6,101,122.0,38.0,121.33108167594078,0.12931646576789493,0.6750093388121031,0.740998814721013,0.7700896096623732,0.3820381194489086,2.481956905866105,0.14128434591069577
TCGA-HNSC,oof,B2,17,415.0,177.0,414.646498814596,0.22105145700322007,0.5766856013830576,0.5732930751117962,0.5690382287880034,-0.019379489576513278,0.7172658248114199,0.33884749565705446
TCGA-HNSC,oof,B5,17,415.0,177.0,414.646498814596,0.22296683404026618,0.6018994589011877,0.606473047897449,0.6334902130460303,-0.11415726183306939,0.42072332900941806,0.3567648152381592
TCGA-HNSC,oof,B6,17,415.0,177.0,414.646498814596,0.22590399266253847,0.593681941669099,0.5971148436719018,0.6239899875376091,-0.11384315473458909,0.3928456260343759,0.35685277085122336
TCGA-HNSC,calibration,B2,17,104.0,44.0,107.37347592126233,0.24223428148312662,0.48977433004231313,0.4610972889812611,0.43680216979269626,0.06823441320275524,-0.6438354328494704,0.3330177162914441
TCGA-HNSC,calibration,B5,17,104.0,44.0,107.37347592126233,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937
TCGA-HNSC,calibration,B6,17,104.0,44.0,107.37347592126233,0.2457914183544378,0.6153032440056417,0.6088119038752456,0.6052877902034774,-0.05511931090220775,0.38082600713739506,0.3589321006624275
TCGA-HNSC,oof,B2,29,415.0,177.0,414.646498814596,0.21936098191514325,0.5741821774175442,0.5736786515186368,0.5729753520647576,-0.013756503020929761,0.9624189434333168,0.3381409092379037
TCGA-HNSC,oof,B5,29,415.0,177.0,414.646498814596,0.21817392535695557,0.6088596510923011,0.6150396720415445,0.6465571695903206,-0.08711262908416859,0.48671038224021923,0.3520796880337992
TCGA-HNSC,oof,B6,29,415.0,177.0,414.646498814596,0.22125875556547553,0.5959720694223041,0.5999570439572363,0.6314534204575113,-0.09746157893118645,0.4663931360474769,0.3548281687087364
TCGA-HNSC,calibration,B2,29,104.0,44.0,107.37347592126233,0.24223428148312662,0.48977433004231313,0.4610972889812611,0.43680216979269626,0.06823441320275524,-0.6438354328494704,0.3330177162914441
TCGA-HNSC,calibration,B5,29,104.0,44.0,107.37347592126233,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937
