scope,registry_source,asset_path,expected_sha256,actual_sha256,status,note
current_analysis_freeze,configs/analysis_freeze.yaml,data/manifests/sealed/phase6_cohort_set_manifest.json,c2ad1939fc77674d6b0e83715bea83b12dbf16560dfafbc180ef60fb1bad8470,c2ad1939fc77674d6b0e83715bea83b12dbf16560dfafbc180ef60fb1bad8470,MATCH,
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/stress_metrics.csv,34a9c5e29baaefbed17d74ad58479bc7eb3dc7219cd666c904d64cc802bcc48e,34a9c5e29baaefbed17d74ad58479bc7eb3dc7219cd666c904d64cc802bcc48e,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/action_summary.csv,fef43fbd02df3bc8ffbf51a51440802e90f79f505a1b2d5148866d90d744aa8d,fef43fbd02df3bc8ffbf51a51440802e90f79f505a1b2d5148866d90d744aa8d,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/detection_summary.csv,9133ff8161ee9698f5ee36b2d17c1c85af7d70c917e9283adabf91096c110561,9133ff8161ee9698f5ee36b2d17c1c85af7d70c917e9283adabf91096c110561,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/subgroup_metrics.csv,ae27a91d76548ba84b78beab6a5a1f693a87f0c5e30f7f44e5a1dbcc1d852b8a,ae27a91d76548ba84b78beab6a5a1f693a87f0c5e30f7f44e5a1dbcc1d852b8a,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/representation_metrics.csv,0790836b9e59a8b12a0c0e64949450a5b155986c677877352eaf36498d9d5bcc,0790836b9e59a8b12a0c0e64949450a5b155986c677877352eaf36498d9d5bcc,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/learned_gate_weights.csv,1306845e5da9cfc4f2b8347f2b8ac8d2c1c5a94c657a6d2664c191ef9e1bc46f,1306845e5da9cfc4f2b8347f2b8ac8d2c1c5a94c657a6d2664c191ef9e1bc46f,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/model_status.csv,00d58275f8eb81f1154b102d925bc881c993c95e0d9d0ab745c6d29c6018ad74,00d58275f8eb81f1154b102d925bc881c993c95e0d9d0ab745c6d29c6018ad74,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/worst_group_summary.csv,f475a806d616ac8a9f72632282173da37d024464583cb717ce3129af431846ae,f475a806d616ac8a9f72632282173da37d024464583cb717ce3129af431846ae,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
phase5_historical_freeze,results/manifests/phase5_stress_freeze_receipt.json,results/metrics/phase5/worst_group_regret.csv,81532434c32bd35cad9c8776600bdc1e99f3ba506a37307090b8e7e74a3b0bfb,81532434c32bd35cad9c8776600bdc1e99f3ba506a37307090b8e7e74a3b0bfb,MATCH,Phase 5 analysis_freeze.yaml hash is historical and is expected to differ after authorized Phase 6 state updates.
