path,status,detail
results/figures/phase5/stress_actions.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase5/stress_brier.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase6/action_distribution.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase6/cohort_brier.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase6/decision_curve.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase6/paired_brier_differences.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase7_exploratory/development_comparison.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase7_exploratory/external_comparator_forest.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase8_pseudo_private/action_distribution.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase8_pseudo_private/calibration.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase8_pseudo_private/modality_risk_distributions.svg,PARSED_SVG_XML,well-formed XML
results/figures/phase8_pseudo_private/model_comparison.svg,PARSED_SVG_XML,well-formed XML
results/manifests/phase2_adapter_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase3_baseline_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase4_trust_hn_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase5_stress_freeze_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase6_locked_evaluation_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase6_preunseal_prediction_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase7_exploratory_prediction_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase7_exploratory_receipt.json,PARSED_JSON,top_level=dict
results/manifests/phase8_pseudo_private_simulation_receipt.json,PARSED_JSON,top_level=dict
results/manifests/radcure_rds_structure.json,PARSED_JSON,top_level=dict
results/metrics/phase2/cohort_flow.csv,PARSED_CSV,rows=26; columns=4
results/metrics/phase2/composition_comparison.csv,PARSED_CSV,rows=111; columns=10
results/metrics/phase2/event_summary_development_only.csv,PARSED_CSV,rows=6; columns=11
results/metrics/phase2/kaplan_meier_development_only.csv,PARSED_CSV,rows=2326; columns=7
results/metrics/phase2/missingness_summary.csv,PARSED_CSV,rows=80; columns=6
results/metrics/phase2/table1_candidates.csv,PARSED_CSV,rows=373; columns=9
results/metrics/phase3/calibration_metrics.csv,PARSED_CSV,rows=105; columns=13
results/metrics/phase3/decision_curve.csv,PARSED_CSV,rows=2100; columns=8
results/metrics/phase3/model_status.csv,PARSED_CSV,rows=108; columns=5
results/metrics/phase3/oof_metrics.csv,PARSED_CSV,rows=105; columns=13
results/metrics/phase3/stability_summary.csv,PARSED_CSV,rows=42; columns=18
results/metrics/phase4/action_summary.csv,PARSED_CSV,rows=120; columns=9
results/metrics/phase4/gate_metrics.csv,PARSED_CSV,rows=40; columns=20
results/metrics/phase4/model_metrics.csv,PARSED_CSV,rows=60; columns=14
results/metrics/phase4/model_status.csv,PARSED_CSV,rows=11; columns=8
results/metrics/phase4/reliability_diagnostics.csv,PARSED_CSV,rows=360; columns=9
results/metrics/phase4/risk_coverage.csv,PARSED_CSV,rows=220; columns=11
results/metrics/phase4/thresholds.csv,PARSED_CSV,rows=20; columns=7
results/metrics/phase5/acceptance_checks.csv,PARSED_CSV,rows=8; columns=5
results/metrics/phase5/action_summary.csv,PARSED_CSV,rows=3240; columns=9
results/metrics/phase5/detection_summary.csv,PARSED_CSV,rows=90; columns=8
results/metrics/phase5/learned_gate_weights.csv,PARSED_CSV,rows=80; columns=5
results/metrics/phase5/model_status.csv,PARSED_CSV,rows=11; columns=4
results/metrics/phase5/representation_metrics.csv,PARSED_CSV,rows=45; columns=18
results/metrics/phase5/stress_metrics.csv,PARSED_CSV,rows=1585; columns=19
results/metrics/phase5/subgroup_metrics.csv,PARSED_CSV,rows=255; columns=17
results/metrics/phase5/worst_group_regret.csv,PARSED_CSV,rows=85; columns=11
results/metrics/phase5/worst_group_summary.csv,PARSED_CSV,rows=180; columns=8
results/metrics/phase6/action_summary.csv,PARSED_CSV,rows=36; columns=6
results/metrics/phase6/bootstrap_confidence_intervals.csv,PARSED_CSV,rows=80; columns=7
results/metrics/phase6/cohort_metrics.csv,PARSED_CSV,rows=20; columns=14
results/metrics/phase6/decision_curve.csv,PARSED_CSV,rows=120; columns=6
results/metrics/phase6/paired_comparisons.csv,PARSED_CSV,rows=48; columns=9
results/metrics/phase6/radcure_negative_controls.csv,PARSED_CSV,rows=47; columns=25
results/metrics/phase7_exploratory/development_metrics_by_seed.csv,PARSED_CSV,rows=120; columns=18
results/metrics/phase7_exploratory/development_metrics_summary.csv,PARSED_CSV,rows=24; columns=20
results/metrics/phase7_exploratory/external_benchmark_combined.csv,PARSED_CSV,rows=36; columns=19
results/metrics/phase7_exploratory/external_metrics.csv,PARSED_CSV,rows=16; columns=18
results/metrics/phase7_exploratory/paired_comparisons.csv,PARSED_CSV,rows=128; columns=9
results/metrics/phase8_pseudo_private/action_summary.csv,PARSED_CSV,rows=3; columns=5
results/metrics/phase8_pseudo_private/bootstrap_confidence_intervals.csv,PARSED_CSV,rows=56; columns=7
results/metrics/phase8_pseudo_private/model_metrics.csv,PARSED_CSV,rows=14; columns=15
