cohort,model,threshold,net_benefit_model,net_benefit_all,net_benefit_none
HANCOCK,B7,0.45,0.0,-0.5663993223515512,0.0
HANCOCK,B7,0.5,0.0,-0.7230392545867064,0.0
GSE65858,B2,0.05,0.1613270744980953,0.17286496289904155,0.0
GSE65858,B2,0.1,0.10255525199143514,0.12691301639343272,0.0
GSE65858,B2,0.15,0.03686909742516789,0.0755549585342229,0.0
GSE65858,B2,0.2,-0.03702782646188274,0.01777714344261183,0.0
GSE65858,B2,0.25,-0.1172938255446824,-0.04770438032788071,0.0
GSE65858,B2,0.3,-0.08816784478956116,-0.12254040749415795,0.0
GSE65858,B2,0.35,-0.03699170910320558,-0.2088896696090931,0.0
GSE65858,B2,0.4,0.011241643939195262,-0.309630475409851,0.0
GSE65858,B2,0.45,0.0,-0.42868779135620094,0.0
GSE65858,B2,0.5,0.0,-0.5715565704918211,0.0
GSE65858,B6,0.05,0.1613270744980953,0.17286496289904155,0.0
GSE65858,B6,0.1,0.10255525199143514,0.12691301639343272,0.0
GSE65858,B6,0.15,0.037943961772615914,0.0755549585342229,0.0
GSE65858,B6,0.2,-0.030936928493010662,0.01777714344261183,0.0
GSE65858,B6,0.25,-0.10603797656430339,-0.04770438032788071,0.0
GSE65858,B6,0.3,-0.1692202339414606,-0.12254040749415795,0.0
GSE65858,B6,0.35,-0.20280116529697112,-0.2088896696090931,0.0
GSE65858,B6,0.4,-0.2062530303003485,-0.309630475409851,0.0
GSE65858,B6,0.45,-0.19962267224160357,-0.42868779135620094,0.0
GSE65858,B6,0.5,-0.20206640511010412,-0.5715565704918211,0.0
GSE65858,B7,0.05,0.1426240318992609,0.15513473568805008,0.0
GSE65858,B7,0.1,0.08178629078327569,0.10819777655960841,0.0
GSE65858,B7,0.15,0.014931459232472383,0.05573882223958537,0.0
GSE65858,B7,0.2,-0.05624169608716831,-0.0032775013704405276,0.0
GSE65858,B7,0.25,-0.13376022954192401,-0.07016266812846986,0.0
GSE65858,B7,0.3,-0.19832678315793142,-0.14660285870907488,0.0
GSE65858,B7,0.35,-0.24036021819111303,-0.23480307860977293,0.0
GSE65858,B7,0.4,-0.2262862223875512,-0.33770333516058737,0.0
GSE65858,B7,0.45,-0.19389988456937962,-0.45931272926609523,0.0
GSE65858,B7,0.5,-0.18264641653551483,-0.6052440021927048,0.0
GSE41613,B2,0.05,0.30231438527016957,0.3216170619662667,0.0
GSE41613,B2,0.1,0.24317902571707645,0.28392912096439266,0.0
GSE41613,B2,0.15,0.17708656504009004,0.2418073045505334,0.0
GSE41613,B2,0.2,0.10273254677848032,0.19442026108494176,0.0
GSE41613,B2,0.25,0.01846465941532266,0.14071494515727123,0.0
GSE41613,B2,0.3,-0.07784149757114334,0.07933744123993342,0.0
GSE41613,B2,0.35,0.0,0.008517244412236058,0.0
GSE41613,B2,0.4,0.0,-0.07410631855341104,0.0
GSE41613,B2,0.45,0.0,-0.17175234751281193,0.0
GSE41613,B2,0.5,0.0,-0.28892758226409315,0.0
GSE41613,B6,0.05,0.30231438527016957,0.3216170619662667,0.0
GSE41613,B6,0.1,0.24317902571707645,0.28392912096439266,0.0
GSE41613,B6,0.15,0.18519791248681108,0.2418073045505334,0.0
GSE41613,B6,0.2,0.12415151617519687,0.19442026108494176,0.0
GSE41613,B6,0.25,0.029531222415718983,0.14071494515727123,0.0
GSE41613,B6,0.3,-0.0047798404717672716,0.07933744123993342,0.0
GSE41613,B6,0.35,-0.012579273866911878,0.008517244412236058,0.0
GSE41613,B6,0.4,-0.05055845997391786,-0.07410631855341104,0.0
GSE41613,B6,0.45,-0.05515884298504631,-0.17175234751281193,0.0
GSE41613,B6,0.5,-0.05341210213048572,-0.28892758226409315,0.0
GSE41613,B7,0.05,0.30231438527016957,0.3216170619662667,0.0
GSE41613,B7,0.1,0.24317902571707645,0.28392912096439266,0.0
GSE41613,B7,0.15,0.18519791248681108,0.2418073045505334,0.0
GSE41613,B7,0.2,0.12415151617519687,0.19442026108494176,0.0
GSE41613,B7,0.25,0.029531222415718983,0.14071494515727123,0.0
GSE41613,B7,0.3,-0.0047798404717672716,0.07933744123993342,0.0
GSE41613,B7,0.35,0.001484255593876993,0.008517244412236058,0.0
GSE41613,B7,0.4,0.010255086252445533,-0.07410631855341104,0.0
GSE41613,B7,0.45,-0.03692247076110844,-0.17175234751281193,0.0
GSE41613,B7,0.5,-0.02862487446001595,-0.28892758226409315,0.0
