study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
RADCURE,M0,71,303.0,119.0,302.74654266925387,0.16256150443319659,0.563883641858708,0.5804824113810798,0.5931695037111981,-0.015480870328188097,25.583015765242372,0.20756038269800486
RADCURE,M0,101,303.0,119.0,302.74654266925387,0.16256150443319659,0.563883641858708,0.5804824113810798,0.5931695037111981,-0.015480870328188097,25.583015765242372,0.20756038269800486
HANCOCK,B0,17,122.0,38.0,121.33108167594078,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388
HANCOCK,B0,29,122.0,38.0,121.33108167594078,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388
HANCOCK,B0,43,122.0,38.0,121.33108167594078,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388
HANCOCK,B0,71,122.0,38.0,121.33108167594078,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388
HANCOCK,B0,101,122.0,38.0,121.33108167594078,0.15115253295774686,0.5,0.5,0.5,0.37547849094348,,0.13336489040569388
HANCOCK,B1,17,122.0,38.0,121.33108167594078,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006
HANCOCK,B1,29,122.0,38.0,121.33108167594078,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006
HANCOCK,B1,43,122.0,38.0,121.33108167594078,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006
HANCOCK,B1,71,122.0,38.0,121.33108167594078,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006
HANCOCK,B1,101,122.0,38.0,121.33108167594078,0.15383689063748554,0.5162495330593948,0.5798342166396399,0.6110580845471913,0.4528744244771998,0.18062438753058077,0.138969847114006
HANCOCK,B2,17,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,B2,29,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,B2,43,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,B2,71,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,B2,101,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,B3,17,122.0,38.0,121.33108167594078,0.13916444924904986,0.6559581621217782,0.6847691586152874,0.7273454116040454,0.37709107004389897,1.5800874512713958,0.14093138627375526
