study,model,partition,ipcw_brier_mean,harrell_c_mean,uno_c_mean,auc_horizon_mean,calibration_in_the_large_mean,calibration_slope_mean,mean_predicted_risk_mean,ipcw_brier_sd,harrell_c_sd,uno_c_sd,auc_horizon_sd,calibration_in_the_large_sd,calibration_slope_sd,mean_predicted_risk_sd,successful_seeds
TCGA-HNSC,B3,calibration,0.23009250012678212,0.6107193229901269,0.6151548325084648,0.6219226551873849,0.07672835245383469,1.2776975113831146,0.3297039414459205,0.0006633012944546133,0.004679551988711936,0.004659736743798332,0.008630016724445543,0.010166494309723946,0.14589511613723483,0.002128383525168872,5
TCGA-HNSC,B3,oof,0.22136976819979087,0.5923617503760749,0.5816547269727269,0.5700993839803352,-0.012083833057198803,0.8172568085300602,0.3369017343389691,0.0011159489390167993,0.011415866452661022,0.01388698784688779,0.016375254743711137,0.003663881703432562,0.21572192002963225,0.0007205725311022051,5
TCGA-HNSC,B4,calibration,0.23822510121568957,0.6265867418899859,0.6274699781362812,0.6293282637411544,-0.07790394134839355,0.47384524553579216,0.364295124866863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
TCGA-HNSC,B4,oof,0.2285289024866465,0.5817687869058578,0.5839962793198149,0.608693278162362,-0.11766180190025657,0.38959621436148534,0.35843641661632886,0.0070562018689118225,0.016129922244009276,0.01438948924227652,0.016911833796314585,0.022868180093770965,0.0848433448463226,0.0024912499947289534,5
TCGA-HNSC,B5,calibration,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
TCGA-HNSC,B5,oof,0.2239084428627723,0.6025371023148252,0.6059224927215291,0.6279851647220924,-0.1290829589647949,0.4393685373711763,0.3578452395792368,0.007336757810945219,0.015550960117802224,0.015038130033659771,0.02113712998400684,0.029181118783964285,0.06737125077479864,0.00356503554787836,5
TCGA-HNSC,M0,calibration,0.23486419817135212,0.5,0.5,0.5,0.05369972513296265,,0.3373557699232651,0.0,0.0,0.0,0.0,0.0,,0.0,5
TCGA-HNSC,M0,oof,0.22395053076328902,0.48183614360448146,0.4744920347284888,0.4604368446109787,-0.002516943158695749,-4.927330365635994,0.3373859571110277,0.0007241431146475084,0.023283723268510047,0.024524970579320828,0.02713055551679911,0.0006437186070813237,1.1619304172748404,5.510884649348141e-05,5
TCGA-HNSC,N0,calibration,0.24877501808244773,0.5113540197461213,0.5020169653752354,0.49625415815241397,0.033767760609465375,-0.039659014213677846,0.3459026152719241,0.009340935233015279,0.05506714377092391,0.05451341370102813,0.04987585689657385,0.058486349958393684,0.2684880049051816,0.004933760415496631,5
TCGA-HNSC,N0,oof,0.2425729499914789,0.5113585846112396,0.5147200309379901,0.5194848883711719,-0.07425206252474889,0.09607218966130796,0.3531783011168774,0.018088785044357736,0.03270296471068961,0.040241462383044546,0.05388558777845597,0.02960054167514123,0.29995384127018176,0.005097410216827854,5
