study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B1,71,oof,0.15,0.11773059883925778,0.06781106944587417,0.0
RADCURE,B1,71,oof,0.2,0.09300707345516315,0.009549261286241312,0.0
RADCURE,B1,71,oof,0.25,0.07707822300498929,-0.056480787961342566,0.0
RADCURE,B1,71,oof,0.3,0.06076108935061857,-0.1319437013871528,0.0
RADCURE,B1,71,oof,0.35,0.04681304178150321,-0.21901629380154916,0.0
RADCURE,B1,71,oof,0.4,0.0369919088869713,-0.3206009849516783,0.0
RADCURE,B1,71,oof,0.45,0.02906212935826183,-0.4406556199472853,0.0
RADCURE,B1,71,oof,0.5,0.015577722288333928,-0.584721181942014,0.0
RADCURE,B1,71,calibration,0.05,0.16478876437826154,0.16299594076076102,0.0
RADCURE,B1,71,calibration,0.1,0.15043100520035108,0.11649571524746996,0.0
RADCURE,B1,71,calibration,0.15,0.10776683594982582,0.06452487496790937,0.0
RADCURE,B1,71,calibration,0.2,0.0957190019015624,0.0060576796534037025,0.0
RADCURE,B1,71,calibration,0.25,0.06156841117500457,-0.060205141703036036,0.0
RADCURE,B1,71,calibration,0.3,0.043810152186305525,-0.1359340803961101,0.0
RADCURE,B1,71,calibration,0.35,0.04034721102803547,-0.22331362504196467,0.0
RADCURE,B1,71,calibration,0.4,0.018654690253925917,-0.32525642712879516,0.0
RADCURE,B1,71,calibration,0.45,0.01706277117755709,-0.4457342841405037,0.0
RADCURE,B1,71,calibration,0.5,0.0032509566112103525,-0.5903077125545542,0.0
RADCURE,B1,101,oof,0.05,0.16720825401274036,0.165936220030519,0.0
RADCURE,B1,101,oof,0.1,0.1376105758568234,0.11959934336554782,0.0
RADCURE,B1,101,oof,0.15,0.11715050824111217,0.06781106944587417,0.0
RADCURE,B1,101,oof,0.2,0.09341652910019099,0.009549261286241312,0.0
RADCURE,B1,101,oof,0.25,0.07488098102706259,-0.056480787961342566,0.0
RADCURE,B1,101,oof,0.3,0.05628065577805681,-0.1319437013871528,0.0
RADCURE,B1,101,oof,0.35,0.04351119219397635,-0.21901629380154916,0.0
RADCURE,B1,101,oof,0.4,0.03369199302552374,-0.3206009849516783,0.0
RADCURE,B1,101,oof,0.45,0.02748020209165402,-0.4406556199472853,0.0
RADCURE,B1,101,oof,0.5,0.013924701865098282,-0.584721181942014,0.0
RADCURE,B1,101,calibration,0.05,0.16478876437826154,0.16299594076076102,0.0
RADCURE,B1,101,calibration,0.1,0.15043100520035108,0.11649571524746996,0.0
RADCURE,B1,101,calibration,0.15,0.10776683594982582,0.06452487496790937,0.0
RADCURE,B1,101,calibration,0.2,0.0957190019015624,0.0060576796534037025,0.0
RADCURE,B1,101,calibration,0.25,0.06156841117500457,-0.060205141703036036,0.0
RADCURE,B1,101,calibration,0.3,0.043810152186305525,-0.1359340803961101,0.0
RADCURE,B1,101,calibration,0.35,0.04034721102803547,-0.22331362504196467,0.0
