study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
RADCURE,M0,17,1215.0,526.0,1214.9945264553016,0.16481702732478803,0.49762728277364704,0.4888666743578729,0.4861408361351059,0.0015761887883204782,-3.611970669306119,0.2073833875076741
RADCURE,M0,29,1215.0,526.0,1214.9945264553016,0.16467937145692702,0.500987417986026,0.48314846585465127,0.4836735169076907,-0.00011660652832127792,-2.9712109946065213,0.20766423549382468
RADCURE,M0,43,1215.0,526.0,1214.9945264553016,0.1650296655188238,0.5028737113690925,0.4855823532675665,0.4838072542261042,-0.0010036187273438542,-3.450880245946151,0.20779175479158615
RADCURE,M0,71,1215.0,526.0,1214.9945264553016,0.1647557778558278,0.5068088130137431,0.4881452475600562,0.4849119357037959,0.0010625000669526043,-3.597633556234656,0.20747218543228818
RADCURE,M0,101,1215.0,526.0,1214.9945264553016,0.1645770047053253,0.5075137913488287,0.4967533003811047,0.4980833893999511,0.0009079920691365123,-1.4252173568698803,0.2074877422534927
HANCOCK,B0,17,489.0,135.0,488.8486702563916,0.11608377139964593,0.47336827429515643,0.41683016734322326,0.4236439212370955,0.00039706548915451013,-3.780698515637384,0.13337207506541257
HANCOCK,B0,29,489.0,135.0,488.8486702563916,0.11570746088306975,0.4918671899204792,0.44681921047185325,0.4438053947379839,-0.0028365439081842747,-4.130067153405172,0.13335184077705353
HANCOCK,B0,43,489.0,135.0,488.8486702563916,0.11597375791015295,0.4759243003201487,0.42548861945076605,0.4220403796637344,-0.00153844399842103,-4.221147687163998,0.1333590315933057
HANCOCK,B0,71,489.0,135.0,488.8486702563916,0.11573239922463703,0.5018976556852215,0.4428947860262318,0.443571880558267,-0.0006896655719200977,-3.9731463342591717,0.1333403191137307
HANCOCK,B0,101,489.0,135.0,488.8486702563916,0.11540784275070458,0.5129479500154911,0.4887309804041628,0.48386328579815346,-0.0021083953833439793,-3.9029033957544845,0.13337769575183397
HANCOCK,B1,17,489.0,135.0,488.8486702563916,0.11231531194313621,0.6177579262625219,0.6775358444044007,0.684210432022736,-0.009847087813149337,0.30444052422146184,0.13631332711097457
HANCOCK,B1,29,489.0,135.0,488.8486702563916,0.10844540175329963,0.6067592688216462,0.6545904456012412,0.671794196368973,-0.01076352691694788,0.3563773263380389,0.13668828369760988
HANCOCK,B1,43,489.0,135.0,488.8486702563916,0.10932730820671252,0.6209594134049364,0.6454715892369567,0.6601218963643197,-0.025030362941669007,0.3090230801527102,0.13826538695428314
HANCOCK,B1,71,489.0,135.0,488.8486702563916,0.10516830700091626,0.6165702778064649,0.6704459933483875,0.6777207553459226,-0.02622598374893221,0.3310107789393101,0.13796407920439172
HANCOCK,B1,101,489.0,135.0,488.8486702563916,0.10947594898432779,0.6256841887844676,0.6561806939776016,0.6681914953679933,0.03673119827702024,0.3672737475490553,0.134471709656967
HANCOCK,B2,17,489.0,135.0,488.8486702563916,0.11080140934597,0.6591061654445937,0.7079161081481299,0.7262695984120152,-0.0066938374187132405,1.4084005125393595,0.1357280133679661
HANCOCK,B2,29,489.0,135.0,488.8486702563916,0.11057354679016557,0.6676520706392647,0.7080323269680058,0.727551940446864,-0.02220112166599486,1.29299188157093,0.13685595474808165
HANCOCK,B2,43,489.0,135.0,488.8486702563916,0.11292847619454685,0.6539424765052153,0.7030120146179656,0.7215265750233203,-0.01744269741499832,0.8541158098915054,0.13614449772616713
HANCOCK,B2,71,489.0,135.0,488.8486702563916,0.10963220571763181,0.6806258390994526,0.71767952350543,0.7348779132381548,-0.018632488869790752,1.4818894283279505,0.13674570171950626
HANCOCK,B2,101,489.0,135.0,488.8486702563916,0.11081136142796215,0.6606939997934524,0.7044138400922381,0.7221336405268475,-0.011408200751150743,1.446894574711874,0.13566006147395646
HANCOCK,B3,17,489.0,135.0,488.8486702563916,0.10366305604591268,0.6834916864608076,0.7486974155679337,0.7765114976723373,0.025367223094727102,1.7200881122190164,0.13259759697656517
HANCOCK,B3,29,489.0,135.0,488.8486702563916,0.10414583066998488,0.6900495714138181,0.7378870115632918,0.7648853812218763,0.01525428223500429,1.6239883362511978,0.13311220425298778
HANCOCK,B3,43,489.0,135.0,488.8486702563916,0.10380973563749887,0.6915212227615408,0.7469495196150482,0.7749273598461037,0.02755158104963251,1.6526712891251094,0.13158054404749994
HANCOCK,B3,71,489.0,135.0,488.8486702563916,0.10291068190101786,0.7074382939171744,0.7576992959431857,0.787122401759292,0.013999719735513505,1.7902135982116794,0.13335457213584617
HANCOCK,B3,101,489.0,135.0,488.8486702563916,0.10391893583768777,0.6744035939275018,0.7321986795474169,0.7577151611925573,0.011659839765460494,1.655108199242693,0.13360717762360116
HANCOCK,B4,17,489.0,135.0,488.8486702563916,0.1088910216127084,0.6447252917484251,0.6725546249049124,0.689967548592469,0.0023785093231854177,1.2889213134893278,0.1369196584616121
HANCOCK,B4,29,489.0,135.0,488.8486702563916,0.10739925400936841,0.6454482081999381,0.6857757249425125,0.704747237544624,0.0064107851363960034,1.563629317457481,0.13500766244339346
HANCOCK,B4,43,489.0,135.0,488.8486702563916,0.10663796102322165,0.6374057626768563,0.6811355861305819,0.698937688474266,-0.011075277870649115,1.4627241035872145,0.13668971714653555
HANCOCK,B4,71,489.0,135.0,488.8486702563916,0.1083750933854653,0.6412527109366932,0.680182253073456,0.6990115659406009,-0.003842795368016593,1.4276756045613705,0.13657947798935502
HANCOCK,B4,101,489.0,135.0,488.8486702563916,0.1082503631706555,0.6416787152741918,0.6750831559102122,0.6913112306048702,0.0014895852088555347,1.407778884766476,0.1349110275120709
HANCOCK,B5,17,489.0,135.0,488.8486702563916,0.10602172136906839,0.6759268821646184,0.7193705349827106,0.7405752337886146,-0.004378335977921811,1.2753123045565296,0.13851308910614918
