study,split_role,variable,level,statistic,value,n_observed,n_missing,percent_observed
RADCURE,train,stage,IV,count_percent_observed,1,1215,0,0.0823045267489712
RADCURE,train,stage,IVA,count_percent_observed,590,1215,0,48.559670781893004
RADCURE,train,stage,IVB,count_percent_observed,103,1215,0,8.477366255144032
RADCURE,train,hpv,"Yes, Negative",count_percent_observed,201,600,615,33.5
RADCURE,train,hpv,"Yes, positive",count_percent_observed,399,600,615,66.5
RADCURE,train,treatment,ChemoRT,count_percent_observed,413,1215,0,33.991769547325106
RADCURE,train,treatment,Postop RT alone,count_percent_observed,1,1215,0,0.0823045267489712
RADCURE,train,treatment,RT + EGFRI,count_percent_observed,41,1215,0,3.374485596707819
RADCURE,train,treatment,RT alone,count_percent_observed,760,1215,0,62.55144032921811
RADCURE,train,smoking,Current,count_percent_observed,447,1215,0,36.79012345679013
RADCURE,train,smoking,Ex-smoker,count_percent_observed,529,1215,0,43.53909465020576
RADCURE,train,smoking,Non-smoker,count_percent_observed,236,1215,0,19.4238683127572
RADCURE,train,smoking,unknown,count_percent_observed,3,1215,0,0.24691358024691357
TCGA-HNSC,calibration,age,,mean,60.21153846153846,104,0,
TCGA-HNSC,calibration,age,,sd,10.720340051231599,104,0,
TCGA-HNSC,calibration,age,,median,60.0,104,0,
TCGA-HNSC,calibration,age,,q1,52.0,104,0,
TCGA-HNSC,calibration,age,,q3,67.0,104,0,
TCGA-HNSC,calibration,sex,female,count_percent_observed,28,104,0,26.923076923076923
TCGA-HNSC,calibration,sex,male,count_percent_observed,76,104,0,73.07692307692308
TCGA-HNSC,calibration,site,"Base of tongue, NOS",count_percent_observed,6,104,0,5.769230769230769
TCGA-HNSC,calibration,site,Border of tongue,count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,Cheek mucosa,count_percent_observed,6,104,0,5.769230769230769
TCGA-HNSC,calibration,site,"Floor of mouth, NOS",count_percent_observed,13,104,0,12.5
TCGA-HNSC,calibration,site,"Gum, NOS",count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,Hard palate,count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,"Larynx, NOS",count_percent_observed,22,104,0,21.153846153846153
TCGA-HNSC,calibration,site,"Lip, NOS",count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,Lower gum,count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,Mandible,count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,"Mouth, NOS",count_percent_observed,4,104,0,3.8461538461538463
TCGA-HNSC,calibration,site,"Oropharynx, NOS",count_percent_observed,4,104,0,3.8461538461538463
TCGA-HNSC,calibration,site,"Overlapping lesion of lip, oral cavity and pharynx",count_percent_observed,11,104,0,10.576923076923077
TCGA-HNSC,calibration,site,"Palate, NOS",count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,site,"Tongue, NOS",count_percent_observed,22,104,0,21.153846153846153
TCGA-HNSC,calibration,site,"Tonsil, NOS",count_percent_observed,9,104,0,8.653846153846153
TCGA-HNSC,calibration,stage,Stage I,count_percent_observed,8,104,0,7.6923076923076925
TCGA-HNSC,calibration,stage,Stage II,count_percent_observed,13,104,0,12.5
TCGA-HNSC,calibration,stage,Stage III,count_percent_observed,18,104,0,17.307692307692307
TCGA-HNSC,calibration,stage,Stage IVA,count_percent_observed,59,104,0,56.73076923076923
TCGA-HNSC,calibration,stage,Stage IVB,count_percent_observed,5,104,0,4.8076923076923075
TCGA-HNSC,calibration,stage,Stage IVC,count_percent_observed,1,104,0,0.9615384615384616
TCGA-HNSC,calibration,treatment,No,count_percent_observed,102,104,0,98.07692307692308
