reference_study,reference_split,comparison_study,comparison_split,variable,metric,value,reference_n,comparison_n,outcomes_used
TCGA-HNSC,train,GSE41613,sensitivity,hpv,missing_fraction_difference,-1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,treatment,missing_fraction_difference,0.010309278350515464,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,smoking,missing_fraction_difference,0.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,age_group,categorical_total_variation_distance,1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,sex,categorical_total_variation_distance,1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,site,categorical_total_variation_distance,1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,stage,categorical_total_variation_distance,1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,hpv,categorical_total_variation_distance,1.0,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,treatment,categorical_total_variation_distance,0.9999999999999999,416,97,False
TCGA-HNSC,train,GSE41613,sensitivity,smoking,categorical_total_variation_distance,0.0,416,97,False
