candidate,beta,alpha,seed,outer_fold,fit_ipcw_brier,effective_slope
fixed_beta_0.900,0.9,-0.11706735275521761,17,3,0.12843850567446322,0.9
fixed_beta_0.925,0.925,-0.08046805563369357,17,3,0.12844189419597013,0.925
fixed_beta_0.950,0.95,-0.04414896961040284,17,3,0.1284526489332478,0.95
fixed_beta_0.975,0.975,-0.008104442628863123,17,3,0.12847064743980097,0.975
fixed_beta_1.000,1.0,0.027671102530981945,17,3,0.1284957602640201,1.0
fixed_beta_1.025,1.025,0.06318307700977799,17,3,0.12852785153950091,1.025
fixed_beta_0.800,0.8,-0.3134835808355647,17,4,0.12199036614853027,0.8
fixed_beta_0.825,0.825,-0.2744216220240385,17,4,0.1218926494626194,0.825
fixed_beta_0.850,0.85,-0.23562043491726886,17,4,0.12180128355466789,0.85
fixed_beta_0.875,0.875,-0.19707583392907457,17,4,0.1217162334182901,0.875
fixed_beta_0.900,0.9,-0.15878368716283145,17,4,0.12163745796832431,0.9
fixed_beta_0.925,0.925,-0.12073988365878711,17,4,0.12156491031367454,0.925
fixed_beta_0.950,0.95,-0.08294036380493251,17,4,0.1214985380369121,0.95
fixed_beta_0.975,0.975,-0.04538115051460778,17,4,0.12143828347908994,0.975
fixed_beta_1.000,1.0,-0.008058280389830594,17,4,0.12138408402827015,1.0
fixed_beta_1.025,1.025,0.029032087629444904,17,4,0.12133587241032143,1.025
fixed_beta_0.800,0.8,-0.3609822256914988,29,0,0.12988228020073667,0.8
fixed_beta_0.825,0.825,-0.3255962876298493,29,0,0.13015256592256275,0.825
fixed_beta_0.850,0.85,-0.2903373974930669,29,0,0.1304320128888079,0.85
fixed_beta_0.875,0.875,-0.25520190161583184,29,0,0.13071975536705327,0.875
fixed_beta_0.900,0.9,-0.22018894871012396,29,0,0.1310149664538915,0.9
fixed_beta_0.925,0.925,-0.1852999297359119,29,0,0.13131686170619072,0.925
fixed_beta_0.950,0.95,-0.15053825090654305,29,0,0.13162470176738186,0.95
fixed_beta_0.975,0.975,-0.11590891683780911,29,0,0.1319377940463097,0.975
fixed_beta_1.000,1.0,-0.08141849028720571,29,0,0.13225549352373572,1.0
fixed_beta_1.025,1.025,-0.04707448698307725,29,0,0.13257720277512988,1.025
fixed_beta_0.800,0.8,-0.2612280803342027,29,1,0.12664466498741497,0.8
fixed_beta_0.825,0.825,-0.22367559451438615,29,1,0.12664591304628897,0.825
fixed_beta_0.850,0.85,-0.18642846740851415,29,1,0.1266563297035029,0.85
fixed_beta_0.875,0.875,-0.14948267649971447,29,1,0.12667563800759665,0.875
fixed_beta_0.900,0.9,-0.11283461495616144,29,1,0.12670356569455898,0.9
fixed_beta_0.925,0.925,-0.07648075844001148,29,1,0.1267398461430708,0.925
fixed_beta_0.950,0.95,-0.040417967731365134,29,1,0.12678421901411727,0.95
fixed_beta_0.975,0.975,-0.004643119886043083,29,1,0.1268364306167235,0.975
fixed_beta_1.000,1.0,0.03084680933758955,29,1,0.12689623404368292,1.0
fixed_beta_1.025,1.025,0.06605492381626447,29,1,0.12696338912106156,1.025
fixed_beta_0.800,0.8,-0.43614019091177486,29,2,0.12931682091177613,0.8
