candidate,beta,alpha,fit_ipcw_brier,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
fixed_beta_0.975,0.975,-0.008104442628863123,0.12847064743980097,17,3,True,0.11736647687204238,0.11754487929489658,0.00017840242285420416,-0.08634074929360558,-0.11752576666455605,0.031185017370950474,2.3622646440021278,2.4228353167133903,0.060570672711262485,99,16
fixed_beta_1.000,1.0,0.027671102530981945,0.1284957602640201,17,3,True,0.11736647687204238,0.11732964040630067,-3.6836465741707514e-05,-0.08634074929360558,-0.11401185182458762,0.02767110253098204,2.3622646440021278,2.36226492195962,2.779574921341066e-07,99,16
fixed_beta_1.025,1.025,0.06318307700977799,0.12852785153950091,17,3,True,0.11736647687204238,0.1171195283249727,-0.00024694854706967806,-0.08634074929360558,-0.11030734709003881,0.02396659779643323,2.3622646440021278,2.3046489810712374,-0.05761566293089038,99,16
fixed_beta_0.800,0.8,-0.3134835808355647,0.12199036614853027,17,4,True,0.14606029689061706,0.14563264750766006,-0.0004276493829570016,0.3421075949114921,0.3053147566991985,-0.03679283821229362,0.5380560576557074,0.6725701478203664,-0.13451409016465898,97,19
fixed_beta_0.825,0.825,-0.2744216220240385,0.1218926494626194,17,4,True,0.14606029689061706,0.14565850000242211,-0.0004017968881949441,0.3421075949114921,0.31044472683433033,-0.03166286807716179,0.5380560576557074,0.6521891076085592,-0.11413304995285178,97,19
fixed_beta_0.850,0.85,-0.23562043491726886,0.12180128355466789,17,4,True,0.14606029689061706,0.1456945809207527,-0.00036571596986437194,0.3421075949114921,0.31571312832610976,-0.02639446658538236,0.5380560576557074,0.6330073103225697,-0.09495125266686233,97,19
fixed_beta_0.875,0.875,-0.19707583392907457,0.1217162334182901,17,4,True,0.14606029689061706,0.1457407719608141,-0.0003195249298029723,0.3421075949114921,0.3211187827499603,-0.02098881216153181,0.5380560576557074,0.6149212955267032,-0.07686523787099575,97,19
fixed_beta_0.900,0.9,-0.15878368716283145,0.12163745796832431,17,4,True,0.14606029689061706,0.14579693538282312,-0.0002633615077939355,0.3421075949114921,0.3266605438450666,-0.015447051066425521,0.5380560576557074,0.5978404168927192,-0.05978435923701175,97,19
fixed_beta_0.925,0.925,-0.12073988365878711,0.12156491031367454,17,4,True,0.14606029689061706,0.14586291467483997,-0.0001973822157770866,0.3421075949114921,0.33233725778852563,-0.009770337122966488,0.5380560576557074,0.5816822237186048,-0.043626166062897376,97,19
fixed_beta_0.950,0.95,-0.08294036380493251,0.1214985380369121,17,4,True,0.14606029689061706,0.1459385358179881,-0.00012176107262895641,0.3421075949114921,0.3381477871077998,-0.003959807803692317,0.5380560576557074,0.5663748415565157,-0.02831878390080833,97,19
fixed_beta_0.975,0.975,-0.04538115051460778,0.12143828347908994,17,4,True,0.14606029689061706,0.14602360861006836,-3.668828054870232e-05,0.3421075949114921,0.3440910358581786,0.0019834409466864544,0.5380560576557074,0.5518525191726023,-0.013796461516894842,97,19
fixed_beta_1.000,1.0,-0.008058280389830594,0.12138408402827015,17,4,True,0.14606029689061706,0.14611792730095302,5.763041033596261e-05,0.3421075949114921,0.3501658753013227,0.008058280389830585,0.5380560576557074,0.5380561510821879,-9.342648044086133e-08,97,19
fixed_beta_1.025,1.025,0.029032087629444904,0.12133587241032143,17,4,True,0.14606029689061706,0.1462212726034322,0.0001609757128151479,0.3421075949114921,0.3563712475959354,0.014263652684443295,0.5380560576557074,0.5249327740242512,0.013123283631456206,97,19
fixed_beta_0.800,0.8,-0.3609822256914988,0.12988228020073667,29,0,True,0.1328543229943847,0.1335564657120074,0.0007021427176227002,0.11962024145905559,0.15607622062069088,0.03645597916163529,0.892327700024139,1.1154097082114824,0.0077374082356214124,99,18
fixed_beta_0.825,0.825,-0.3255962876298493,0.13015256592256275,29,0,True,0.1328543229943847,0.13348821035368072,0.0006338873592960093,0.11962024145905559,0.1616792912791507,0.04205904982009512,0.892327700024139,1.0816092667810804,-0.02606303319478065,99,18
fixed_beta_0.850,0.85,-0.2903373974930669,0.1304320128888079,29,0,True,0.1328543229943847,0.1334283024703729,0.0005739794759881955,0.11962024145905559,0.16728422793111164,0.04766398647205605,0.892327700024139,1.0497971502603765,-0.057875149715484575,99,18
fixed_beta_0.875,0.875,-0.25520190161583184,0.13071975536705327,29,0,True,0.1328543229943847,0.1333766384920452,0.0005223154976604916,0.11962024145905559,0.17288948228633305,0.053269240827277464,0.892327700024139,1.0198032229605651,-0.0878690770152959,99,18
fixed_beta_0.900,0.9,-0.22018894871012396,0.1310149664538915,29,0,True,0.1328543229943847,0.1333331270712999,0.0004788040769151958,0.11962024145905559,0.1784963312764275,0.05887608981737191,0.892327700024139,0.991475246592788,-0.09914754656864899,99,18
fixed_beta_0.925,0.925,-0.1852999297359119,0.13131686170619072,29,0,True,0.1328543229943847,0.13329768529113156,0.000443362296746852,0.11962024145905559,0.1841083128066655,0.06448807134760992,0.892327700024139,0.96467855016804,-0.07235085014390108,99,18
fixed_beta_0.950,0.95,-0.15053825090654305,0.13162470176738186,29,0,True,0.1328543229943847,0.13327023670298094,0.00041591370859622723,0.11962024145905559,0.189730994687059,0.07011075322800342,0.892327700024139,0.9392920429442911,-0.04696434292015217,99,18
fixed_beta_0.975,0.975,-0.11590891683780911,0.1319377940463097,29,0,True,0.1328543229943847,0.1332507080638272,0.00039638506944247864,0.11962024145905559,0.19537155376848364,0.07575131230942805,0.892327700024139,0.9152081954331424,-0.022880495409003387,99,18
fixed_beta_1.000,1.0,-0.08141849028720571,0.13225549352373572,29,0,True,0.1328543229943847,0.13323902830367218,0.0003847053092874697,0.11962024145905559,0.2010387317462613,0.08141849028720571,0.892327700024139,,,99,18
fixed_beta_1.025,1.025,-0.04707448698307725,0.13257720277512988,29,0,True,0.1328543229943847,0.1332351241043366,0.00038080110995189487,0.11962024145905559,0.20674222614580606,0.08712198468675048,0.892327700024139,0.8705635352252211,0.02176416479891785,99,18
fixed_beta_0.800,0.8,-0.2612280803342027,0.12664466498741497,29,1,True,0.15477786124894807,0.14658856250426203,-0.008189298744686047,-0.1015222398111073,-0.11833874499225172,0.016816505181144414,0.23476639868190313,0.29345806456402374,-0.0586916658821206,95,16
fixed_beta_0.825,0.825,-0.22367559451438615,0.12664591304628897,29,1,True,0.15477786124894807,0.14764367496619418,-0.0071341862827538904,-0.1015222398111073,-0.12051524496488075,0.018993005153773446,0.23476639868190313,0.28456536098174307,-0.049798962299840044,95,16
fixed_beta_0.850,0.85,-0.18642846740851415,0.1266563297035029,29,1,True,0.15477786124894807,0.14870626830711733,-0.006071592941830739,-0.1015222398111073,-0.12258212312504946,0.02105988331394215,0.23476639868190313,0.2761957985223821,-0.041429399840479,95,16
fixed_beta_0.875,0.875,-0.14948267649971447,0.12667563800759665,29,1,True,0.15477786124894807,0.1497737842659877,-0.005004076982960376,-0.1015222398111073,-0.12453341071968871,0.023011170908581402,0.23476639868190313,0.26830462687024964,-0.03353822818834651,95,16
fixed_beta_0.900,0.9,-0.11283461495616144,0.12670356569455898,29,1,True,0.15477786124894807,0.1508438339934393,-0.00393402725550876,-0.1015222398111073,-0.12636332934216132,0.024841089531054017,0.23476639868190313,0.26085142607961653,-0.026085027397713456,95,16
fixed_beta_0.925,0.925,-0.07648075844001148,0.1267398461430708,29,1,True,0.15477786124894807,0.15191420760271385,-0.0028636536462342266,-0.1015222398111073,-0.128066622491891,0.026544382680783685,0.23476639868190313,0.25380142223196056,-0.019035023550057484,95,16
fixed_beta_0.950,0.95,-0.040417967731365134,0.12678421901411727,29,1,True,0.15477786124894807,0.15298287340887665,-0.001794987840071427,-0.1015222398111073,-0.12963824567715487,0.028116005866047566,0.23476639868190313,0.24712257916996458,-0.01235618048806153,95,16
fixed_beta_0.975,0.975,-0.004643119886043083,0.1268364306167235,29,1,True,0.15477786124894807,0.15404798150865262,-0.0007298797402954527,-0.1015222398111073,-0.13107372312809695,0.029551483316989646,0.23476639868190313,0.24078611009210268,-0.006019711410199635,95,16
fixed_beta_1.000,1.0,0.03084680933758955,0.12689623404368292,29,1,True,0.15477786124894807,0.15510785987993594,0.0003299986309878711,-0.1015222398111073,-0.13236904914869696,0.030846809337589653,0.23476639868190313,0.23476644420776357,-4.552586052586349e-08,95,16
fixed_beta_1.025,1.025,0.06605492381626447,0.12696338912106156,29,1,True,0.15477786124894807,0.15616101121424042,0.0013831499652923462,-0.1015222398111073,-0.13352084686866283,0.03199860705755553,0.23476639868190313,0.2290403971431666,0.0057260015387364804,95,16
fixed_beta_0.800,0.8,-0.43614019091177486,0.12931682091177613,29,2,True,0.13434832412190317,0.13760648797224717,0.003258163850343998,0.27785509587707125,0.36146298038272495,0.0836078845056537,2.0894017868638044,2.611752500545833,0.5223507136820285,106,20
fixed_beta_0.825,0.825,-0.4043237173411689,0.1296051462593515,29,2,True,0.13434832412190317,0.13754527371731687,0.003196949595413695,0.27785509587707125,0.3739912603864747,0.09613616450940343,2.0894017868638044,2.532608255156928,0.4432064682931234,106,20
