candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g0.10,0.1,17,4,0.3207412040073248,1.2271288662104956,1.0227128866210495,0.14606029689061706,0.14616627521232842,0.00010597832171135857,0.34210755585406155,0.34937245270467865,0.0072648968506170974,0.5379175787344588,0.5257517997340344,0.01216577900042437,97,19
brier_full_shrinkage_g0.25,0.25,17,4,0.3207412040073248,1.2271288662104956,1.056782216552624,0.14606029689061706,0.1463356935639824,0.0002753966733653468,0.34210755585406155,0.36011645614785437,0.018008900293792818,0.5379175787344588,0.5096439431343747,0.028273635600084113,97,19
brier_full_shrinkage_g0.50,0.5,17,4,0.3207412040073248,1.2271288662104956,1.1135644331052479,0.14606029689061706,0.14664500597067912,0.0005847090800620569,0.34210755585406155,0.3776307570624695,0.03552320120840796,0.5379175787344588,0.4830298490284468,0.05488772970601197,97,19
brier_full_shrinkage_g0.75,0.75,17,4,0.3207412040073248,1.2271288662104956,1.1703466496578716,0.14606029689061706,0.14698642917612564,0.0009261322855085852,0.34210755585406155,0.3946803817830609,0.05257282592899937,0.5379175787344588,0.45921579262651846,0.07870178610794032,97,19
brier_full_shrinkage_g1.00,1.0,17,4,0.3207412040073248,1.2271288662104956,1.2271288662104956,0.14606029689061706,0.14735803723587204,0.001297740345254983,0.34210755585406155,0.4112933302265911,0.06918577437252954,0.5379175787344588,0.43838401192256,0.09953356681189884,97,19
brier_full_shrinkage_g0.10,0.1,29,0,-0.43215214005986646,0.75,0.975,0.1328543229943847,0.1328933321694038,3.900917501908907e-05,0.11962010936255957,0.12267771265651893,0.003057603293959363,0.8924871226216082,0.9157126105842004,-0.023225487962592162,99,18
brier_full_shrinkage_g0.25,0.25,29,0,-0.43215214005986646,0.75,0.9375,0.1328543229943847,0.1329724564645952,0.00011813347021050191,0.11962010936255957,0.12705289504543013,0.007432785682870563,0.8924871226216082,0.9521248113119888,-0.05963768869038055,99,18
brier_full_shrinkage_g0.50,0.5,29,0,-0.43215214005986646,0.75,0.875,0.1328543229943847,0.13315792391317488,0.00030360091879017004,0.11962010936255957,0.13376348643433525,0.014143377071775681,0.8924871226216082,1.020971976284945,-0.08654090109344681,99,18
brier_full_shrinkage_g0.75,0.75,29,0,-0.43215214005986646,0.75,0.8125,0.1328543229943847,0.13340775259052298,0.0005534295961382718,0.11962010936255957,0.1397182013557247,0.020098091993165146,0.8924871226216082,1.1005950895198102,-0.006917787858581548,99,18
brier_full_shrinkage_g1.00,1.0,29,0,-0.43215214005986646,0.75,0.75,0.1328543229943847,0.13371842105216616,0.0008640980577814539,0.11962010936255957,0.1448844296930499,0.025264320330490336,0.8924871226216082,1.189951816413863,0.08243893903547117,99,18
