study,seed,subgroup_variable,subgroup,parent_n,coverage,b7_ipcw_brier,b2_ipcw_brier,brier_regret_vs_b2,flag_threshold,flagged
HANCOCK,71,sex,0,91,0.8901098901098901,0.12761027172729728,0.14134533428831464,-0.013735062561017364,0.03,False
HANCOCK,71,sex,1,31,0.9354838709677419,0.12887576497415268,0.15976977358623312,-0.030894008612080442,0.03,False
HANCOCK,71,site_group,other,122,0.9016393442622951,0.12794390176510462,0.14602695410991687,-0.01808305234481225,0.03,False
HANCOCK,71,stage_group,unknown,122,0.9016393442622951,0.12794390176510462,0.14602695410991687,-0.01808305234481225,0.03,False
HANCOCK,101,age_group,<65,73,0.8904109589041096,0.11835373935399864,0.15034343144657633,-0.031989692092577696,0.03,False
HANCOCK,101,age_group,>=65,49,0.9183673469387755,0.09940672213498443,0.13959628379203648,-0.04018956165705205,0.03,False
HANCOCK,101,hpv_group,unknown,122,0.9016393442622951,0.11060268685531102,0.14602695410991687,-0.035424267254605846,0.03,False
HANCOCK,101,natural_modality_missingness,missing,36,0.9722222222222222,0.11331306005555106,0.12341951801811102,-0.010106457962559962,0.03,False
HANCOCK,101,natural_modality_missingness,complete,86,0.872093023255814,0.10933784602853235,0.15549053200881235,-0.04615268598028001,0.03,False
HANCOCK,101,sex,0,91,0.9120879120879121,0.12101534311657164,0.14134533428831464,-0.020329991171743,0.03,False
HANCOCK,101,sex,1,31,0.8709677419354839,0.07859341020032469,0.15976977358623312,-0.08117636338590843,0.03,False
HANCOCK,101,site_group,other,122,0.9016393442622951,0.11060268685531102,0.14602695410991687,-0.035424267254605846,0.03,False
HANCOCK,101,stage_group,unknown,122,0.9016393442622951,0.11060268685531102,0.14602695410991687,-0.035424267254605846,0.03,False
TCGA-HNSC,17,age_group,>=65,34,0.7647058823529411,0.2588834772583159,0.23495741718938146,0.02392606006893444,0.03,False
TCGA-HNSC,17,age_group,<65,70,0.9714285714285714,0.220047228565535,0.24576875842580295,-0.02572152986026796,0.03,False
TCGA-HNSC,17,hpv_group,unknown,104,0.9038461538461539,0.2307891696933254,0.24223428148312662,-0.011445111789801204,0.03,False
TCGA-HNSC,17,natural_modality_missingness,complete,104,0.9038461538461539,0.2307891696933254,0.24223428148312662,-0.011445111789801204,0.03,False
TCGA-HNSC,17,sex,male,76,0.9078947368421053,0.21991371891976894,0.22824786283162588,-0.00833414391185694,0.03,False
TCGA-HNSC,17,sex,female,28,0.8928571428571429,0.2608054138283414,0.28019741782291446,-0.01939200399457308,0.03,False
TCGA-HNSC,17,site_group,other,100,0.91,0.23200554399861859,0.24342066440002907,-0.011415120401410489,0.03,False
TCGA-HNSC,17,stage_group,advanced,83,0.9397590361445783,0.24132057695633904,0.2583763561517533,-0.01705577919541426,0.03,False
TCGA-HNSC,29,age_group,>=65,34,0.8235294117647058,0.2837720132271205,0.23495741718938146,0.04881459603773902,0.03,True
TCGA-HNSC,29,age_group,<65,70,0.9428571428571428,0.22057576261064016,0.24576875842580295,-0.025192995815162794,0.03,False
TCGA-HNSC,29,hpv_group,unknown,104,0.9038461538461539,0.23940017768788954,0.24223428148312662,-0.002834103795237075,0.03,False
TCGA-HNSC,29,natural_modality_missingness,complete,104,0.9038461538461539,0.23940017768788954,0.24223428148312662,-0.002834103795237075,0.03,False
TCGA-HNSC,29,sex,male,76,0.9078947368421053,0.23379381055042148,0.22824786283162588,0.005545947718795602,0.03,False
TCGA-HNSC,29,sex,female,28,0.8928571428571429,0.2548737509873015,0.28019741782291446,-0.02532366683561299,0.03,False
TCGA-HNSC,29,site_group,other,100,0.9,0.24272514088090297,0.24342066440002907,-0.0006955235191261067,0.03,False
