study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,43,natural_modality_missingness,complete,B7_full_equal_weight_90,86,0.8953488372093024,77.0,20.0,76.69497425237374,0.11848359162166636,0.6403118040089086,0.7168145461142481,0.7239156909595532,0.19397916812739766,1.9455797557451733,0.12595309266329155
HANCOCK,43,natural_modality_missingness,missing,B2,36,1.0,36.0,13.0,35.322109783686,0.12341951801811102,0.7217391304347827,0.762092769950278,0.7538077668824325,0.22703304279002426,2.876313755884879,0.13204121757806597
HANCOCK,43,natural_modality_missingness,missing,B6,36,1.0,36.0,13.0,35.322109783686,0.10087053841539269,0.5739130434782609,0.5879724480446609,0.5864689536038613,0.13510264069227787,1.5447720415232924,0.1378242543233565
HANCOCK,43,natural_modality_missingness,missing,B7_full_equal_weight_90,36,0.9166666666666666,33.0,10.0,31.868582456125303,0.09353978351913056,0.6066666666666667,0.559257581932557,0.5195618153845245,-0.11906778052916907,-0.28913202139478766,0.11622116058120525
HANCOCK,71,sex,0,B2,91,1.0,91.0,28.0,88.9593227647629,0.14134533428831464,0.6201157742402316,0.6520199735218379,0.6795506110294908,0.3342308106389265,2.340405596222991,0.13782593418620745
HANCOCK,71,sex,0,B6,91,1.0,91.0,28.0,88.9593227647629,0.11793225386504404,0.7098408104196816,0.8156814669626679,0.846392751063601,0.3480074165305687,3.4869990277076512,0.1446082544683267
HANCOCK,71,sex,0,B7_full_equal_weight_90,91,0.8901098901098901,81.0,24.0,81.86225605393236,0.12761027172729728,0.6177311725452812,0.6999286969070868,0.7137058675614983,0.3085400729555582,1.8543506024724834,0.12186699983770034
HANCOCK,71,sex,1,B2,31,1.0,31.0,10.0,32.3717589111779,0.15976977358623312,0.6767676767676768,0.6863155878573036,0.7040014910368972,0.44426358267458677,3.2120847525439475,0.13688883320100534
HANCOCK,71,sex,1,B6,31,1.0,31.0,10.0,32.3717589111779,0.16205783589920245,0.6161616161616161,0.5501173439775189,0.5381881091384187,0.4786377335764914,0.9614380471237198,0.13095806965619658
HANCOCK,71,sex,1,B7_full_equal_weight_90,31,0.9354838709677419,29.0,8.0,30.33325277738018,0.12887576497415268,0.7,0.6219510814445758,0.6019399350079736,0.11972481009494419,0.5484001784401903,0.12572586852756423
HANCOCK,71,age_group,<65,B2,73,1.0,73.0,24.0,75.43917997029078,0.15034343144657633,0.6284860557768924,0.6651827272918014,0.6859327707708914,0.424743223276966,2.6965168401427424,0.1270256045074011
HANCOCK,71,age_group,<65,B6,73,1.0,73.0,24.0,75.43917997029078,0.1281599572516045,0.6743027888446215,0.7442954861600082,0.7744884789627065,0.39800023588206607,2.8668521954208597,0.1392607150280113
HANCOCK,71,age_group,<65,B7_full_equal_weight_90,73,0.9041095890410958,66.0,20.0,68.52841446814924,0.13032344820232877,0.6074895977808599,0.6708922835657378,0.6900090970514391,0.3415455872981523,2.0200589577462664,0.11327140684285751
HANCOCK,71,age_group,>=65,B2,49,1.0,49.0,14.0,45.89190170565001,0.13959628379203648,0.675,0.7128223588832905,0.7649103663585478,0.27420009141355417,3.82534893898628,0.15332336145175027
HANCOCK,71,age_group,>=65,B6,49,1.0,49.0,14.0,45.89190170565001,0.130611247657697,0.655,0.718782514339194,0.7410039286830216,0.363423168474052,2.0399992717434623,0.14393916569214277
HANCOCK,71,age_group,>=65,B7_full_equal_weight_90,49,0.8979591836734694,44.0,12.0,43.667094363163294,0.12437458210926837,0.6091205211726385,0.6419377194107694,0.6499307305216532,0.1322611855605846,1.1142650179601374,0.13730373460282944
HANCOCK,71,site_group,other,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
