study,seed,scenario,mean_clinical_unreliability,mean_modality_unreliability,median_modality_ood_rank,mean_modality_missingness,mean_perturbation_sensitivity_rank
TCGA-HNSC,43,location_shift_1sd,0.5052802432610124,0.5144107495069034,0.7291666666666667,0.0,0.5143306213017751
TCGA-HNSC,43,row_permutation_negative_control,0.5052802432610124,0.42846400394477324,0.4807692307692308,0.0,0.5426220414201184
TCGA-HNSC,43,complete_modality_dropout,0.5052802432610124,0.3283160749506904,0.006410256410256411,1.0,0.0
TCGA-HNSC,71,clean,0.5052699704142012,0.4038646449704142,0.47115384615384615,0.0,0.5049001479289941
TCGA-HNSC,71,random_cell_dropout_10pct,0.5052699704142012,0.5931952662721893,0.30288461538461536,0.09972216442009046,0.5968934911242604
TCGA-HNSC,71,random_cell_dropout_30pct,0.5052699704142012,0.5355769230769231,0.08012820512820512,0.29977582406572495,0.5599112426035503
TCGA-HNSC,71,measurement_noise_0.5sd,0.5052699704142012,0.4640224358974359,0.6410256410256411,0.0,0.5630547337278107
TCGA-HNSC,71,location_shift_1sd,0.5052699704142012,0.5083333333333333,0.7756410256410255,0.0,0.6026257396449703
TCGA-HNSC,71,row_permutation_negative_control,0.5052699704142012,0.4199211045364892,0.47115384615384615,0.0,0.5671227810650887
TCGA-HNSC,71,complete_modality_dropout,0.5052699704142012,0.32639299802761335,0.006410256410256411,1.0,0.019230769230769225
TCGA-HNSC,101,clean,0.5054240631163708,0.4038461538461538,0.469551282051282,0.0,0.5048076923076923
TCGA-HNSC,101,random_cell_dropout_10pct,0.5054240631163708,0.5694341715976331,0.2900641025641026,0.10000539486562933,0.48058431952662717
TCGA-HNSC,101,random_cell_dropout_30pct,0.5054240631163708,0.5178254437869823,0.060897435897435896,0.29955569428067175,0.45784023668639057
TCGA-HNSC,101,measurement_noise_0.5sd,0.5054240631163708,0.4567307692307692,0.6105769230769231,0.0,0.5309726331360947
TCGA-HNSC,101,location_shift_1sd,0.5054240631163708,0.42856878698224854,0.6987179487179487,0.0,0.483173076923077
TCGA-HNSC,101,row_permutation_negative_control,0.5054240631163708,0.41451553254437873,0.469551282051282,0.0,0.5110022189349113
TCGA-HNSC,101,complete_modality_dropout,0.5054240631163708,0.3261526134122288,0.006410256410256411,1.0,0.009615384615384612
