study,seed,subgroup_variable,model,worst_ipcw_brier,best_ipcw_brier,worst_group_coverage,brier_range
TCGA-HNSC,71,age_group,B7_full_equal_weight_90,0.27284691856317056,0.21417297352103523,0.7647058823529411,0.05867394504213533
TCGA-HNSC,71,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,71,hpv_group,B6,0.24427624307182963,0.24427624307182963,1.0,0.0
TCGA-HNSC,71,hpv_group,B7_full_equal_weight_90,0.23040193704332798,0.23040193704332798,0.9038461538461539,0.0
TCGA-HNSC,71,natural_modality_missingness,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,71,natural_modality_missingness,B6,0.24427624307182963,0.24427624307182963,1.0,0.0
TCGA-HNSC,71,natural_modality_missingness,B7_full_equal_weight_90,0.23040193704332798,0.23040193704332798,0.9038461538461539,0.0
TCGA-HNSC,71,sex,B2,0.28019741782291446,0.22824786283162588,1.0,0.05194955499128859
TCGA-HNSC,71,sex,B6,0.2621882588940238,0.23767707934786328,1.0,0.024511179546160528
TCGA-HNSC,71,sex,B7_full_equal_weight_90,0.23922848740884922,0.22754263199534228,0.8214285714285714,0.011685855413506946
TCGA-HNSC,71,site_group,B2,0.24342066440002907,0.24342066440002907,1.0,0.0
TCGA-HNSC,71,site_group,B6,0.25169401654373963,0.25169401654373963,1.0,0.0
TCGA-HNSC,71,site_group,B7_full_equal_weight_90,0.23802727174418353,0.23802727174418353,0.9,0.0
TCGA-HNSC,71,stage_group,B2,0.2583763561517533,0.2583763561517533,1.0,0.0
TCGA-HNSC,71,stage_group,B6,0.2637556961134546,0.2637556961134546,1.0,0.0
TCGA-HNSC,71,stage_group,B7_full_equal_weight_90,0.23426407337036273,0.23426407337036273,0.9397590361445783,0.0
TCGA-HNSC,101,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,101,age_group,B6,0.2674714768368507,0.23535353833696152,1.0,0.03211793849988917
TCGA-HNSC,101,age_group,B7_full_equal_weight_90,0.26476721264634606,0.2193654542493331,0.7941176470588235,0.045401758397012965
TCGA-HNSC,101,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,101,hpv_group,B6,0.2458536336157714,0.2458536336157714,1.0,0.0
TCGA-HNSC,101,hpv_group,B7_full_equal_weight_90,0.23240638485273044,0.23240638485273044,0.9038461538461539,0.0
TCGA-HNSC,101,natural_modality_missingness,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
TCGA-HNSC,101,natural_modality_missingness,B6,0.2458536336157714,0.2458536336157714,1.0,0.0
TCGA-HNSC,101,natural_modality_missingness,B7_full_equal_weight_90,0.23240638485273044,0.23240638485273044,0.9038461538461539,0.0
TCGA-HNSC,101,sex,B2,0.28019741782291446,0.22824786283162588,1.0,0.05194955499128859
TCGA-HNSC,101,sex,B6,0.26253103106530495,0.23970932929225908,1.0,0.022821701773045877
TCGA-HNSC,101,sex,B7_full_equal_weight_90,0.23651285866228253,0.23099845097516974,0.8571428571428571,0.005514407687112782
TCGA-HNSC,101,site_group,B2,0.24342066440002907,0.24342066440002907,1.0,0.0
TCGA-HNSC,101,site_group,B6,0.25332509914894685,0.25332509914894685,1.0,0.0
TCGA-HNSC,101,site_group,B7_full_equal_weight_90,0.238310328815919,0.238310328815919,0.91,0.0
TCGA-HNSC,101,stage_group,B2,0.2583763561517533,0.2583763561517533,1.0,0.0
TCGA-HNSC,101,stage_group,B6,0.26617600122592017,0.26617600122592017,1.0,0.0
TCGA-HNSC,101,stage_group,B7_full_equal_weight_90,0.2523831682485669,0.2523831682485669,0.9036144578313253,0.0
