study,seed,scenario,gate_variant,profile,action,count,rate,non_abstention_coverage
HANCOCK,17,location_shift_1sd,full_learned_nonnegative,90,FALLBACK,9,0.07377049180327869,0.9016393442622951
HANCOCK,17,location_shift_1sd,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,location_shift_1sd,full_learned_nonnegative,80,AUGMENT,85,0.6967213114754098,0.8032786885245902
HANCOCK,17,location_shift_1sd,full_learned_nonnegative,80,FALLBACK,13,0.10655737704918032,0.8032786885245902
HANCOCK,17,location_shift_1sd,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,ood_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,row_permutation_negative_control,ood_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,ood_only,90,AUGMENT,99,0.8114754098360656,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,ood_only,90,FALLBACK,11,0.09016393442622951,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,ood_only,80,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,ood_only,80,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,uncertainty_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,row_permutation_negative_control,uncertainty_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,uncertainty_only,90,AUGMENT,102,0.8360655737704918,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,uncertainty_only,90,FALLBACK,8,0.06557377049180328,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,uncertainty_only,80,AUGMENT,76,0.6229508196721312,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,uncertainty_only,80,FALLBACK,22,0.18032786885245902,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_equal_weight,100,AUGMENT,121,0.9918032786885246,1.0
HANCOCK,17,row_permutation_negative_control,full_equal_weight,100,FALLBACK,1,0.00819672131147541,1.0
HANCOCK,17,row_permutation_negative_control,full_equal_weight,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,full_equal_weight,90,AUGMENT,101,0.8278688524590164,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,full_equal_weight,90,FALLBACK,9,0.07377049180327869,0.9016393442622951
