study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,29,tma_block_dropout_30pct_rows,B7,full_equal_weight,80,0.8032786885245902,98.0,28.0,98.8755275527463,0.11633303200925275,0.5950134770889488,0.6667872110632473,0.666833322590236,0.15212571369346894,1.2989227194539568,0.11853903273224137,0.11552081633580108,0.1047135745622421
HANCOCK,29,tma_block_dropout_30pct_rows,B7,full_learned_nonnegative,100,1.0,122.0,38.0,121.33108167594078,0.1297015813071386,0.6630556593201344,0.7303110895727625,0.7570243599222933,0.3541054689705113,2.376132760149927,0.14394447994567358,0.14602695410991687,0.1293970390501871
HANCOCK,29,tma_block_dropout_30pct_rows,B7,full_learned_nonnegative,90,0.9016393442622951,110.0,32.0,111.32222633952101,0.1166453605844117,0.6390780513357779,0.7277477132261633,0.7539453811597879,0.15364386871454344,2.4628719193863993,0.1265856349310168,0.12067865321142358,0.10459890993207997
HANCOCK,29,tma_block_dropout_30pct_rows,B7,full_learned_nonnegative,80,0.8032786885245902,98.0,24.0,98.10185740920528,0.09244848385044926,0.590564448188711,0.6222197451941097,0.6269269078687412,-0.14814301853212072,0.9255322136091808,0.1204472094903156,0.09223729046539321,0.08621075805200223
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.1395186818994406,0.6574523720582742,0.6868113799857128,0.7244082215010708,0.3788492547515765,1.4631735363863188,0.14069947941013589,,
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13653155164648165,0.5265222263728053,0.5866875274984182,0.6068937443301604,0.4209749320599949,1.9160279027592733,0.13486824577155787,,
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.13476661415257268,0.6559581621217782,0.7211198780535065,0.7547320408294358,0.42121033055919177,2.553653560555565,0.13576708674605054,,
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.1358872165310033,0.6238326484871124,0.6859308921906949,0.7240205078137677,0.43322447126113345,2.667834964315628,0.13412009955723656,,
HANCOCK,29,blood_and_tma_dropout_30pct_rows,M0,none,full,1.0,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,,
