Image,Name,Missing,Centroid X µm,Centroid Y µm,Case ID,Num Detections,Num Negative,Num Positive,Positive %,Num Positive per mm^2
TumorCenter_CD8_block2.svs,12-1,False,6032.2,29726.1,670,10189,10177,12,0.1178,9.009
TumorCenter_CD8_block2.svs,12-2,False,8545.5,29684.3,670,21203,21168,35,0.1651,14.76
TumorCenter_CD8_block3.svs,2-3,False,12243.5,6696.5,060,21747,21504,243,1.117,106.74
TumorCenter_CD8_block3.svs,2-4,False,14867.1,6821.4,060,19302,19206,96,0.4974,42.08
TumorCenter_CD8_block3.svs,4-3,True,12018.6,11543.9,086,0,0,0,,
TumorCenter_CD8_block3.svs,4-4,False,14592.3,11718.8,086,9686,9391,295,3.046,263.37
TumorCenter_CD8_block3.svs,4-5,False,17190.9,11693.8,458,22458,21132,1326,5.904,547.92
TumorCenter_CD8_block3.svs,4-6,False,19714.6,11818.7,458,14499,13850,649,4.476,365.65
TumorCenter_CD8_block3.svs,5-1,False,4572.6,13467.9,561,26081,25884,197,0.7553,78.15
TumorCenter_CD8_block3.svs,5-2,False,7121.2,13592.8,561,22248,22113,135,0.6068,60.43
TumorCenter_CD8_block3.svs,9-1,False,3947.9,22812.9,548,16035,11404,4631,28.88,2113.1
TumorCenter_CD8_block3.svs,9-2,False,6596.5,23062.8,548,16029,12127,3902,24.34,1779.9
TumorCenter_CD8_block3.svs,9-5,False,16266.4,23962.3,383,18593,18488,105,0.5647,45.48
TumorCenter_CD8_block3.svs,9-6,False,18840.0,24162.2,383,20214,20142,72,0.3562,29.14
TumorCenter_CD8_block3.svs,10-3,True,11044.2,26111.2,089,0,0,0,,
TumorCenter_CD8_block3.svs,10-4,True,13617.8,26286.1,089,0,0,0,,
TumorCenter_CD8_block3.svs,12-5,False,15441.8,31283.4,714,18423,18085,338,1.835,140.75
TumorCenter_CD8_block3.svs,12-6,False,17915.5,31658.2,714,16102,15926,176,1.093,85.83
TumorCenter_CD8_block4.svs,4-3,False,11843.7,10069.7,124,15473,14359,1114,7.2,552.59
TumorCenter_CD8_block4.svs,4-4,False,14667.2,10269.6,124,15943,15233,710,4.453,357.26
TumorCenter_CD8_block4.svs,5-1,False,4372.7,12243.5,558,16195,15570,625,3.859,344.78
TumorCenter_CD8_block4.svs,5-2,False,7146.2,12543.4,558,12545,12343,202,1.61,151.52
TumorCenter_CD8_block4.svs,7-1,False,3798.0,17190.9,508,18235,15849,2386,13.08,1029.3
